segmentnr	original	stemmed
ZH_T05_0220a_095:0526a16_0	7大般若波羅蜜多經卷第九十五	7 大 般 若 波羅蜜多 經 卷 第 九 十 五 
ZH_T05_0220a_095:0526a18_0	三藏法師玄奘奉　詔譯	三藏法師 玄 奘 奉  詔 譯 
ZH_T05_0220a_095:0526a19_0	初分求般若品第二十七之七	初 分 求 般 若 品 第 二 十 七 之 七 
ZH_T05_0220a_095:0526a20_4	「憍尸迦！	 憍 尸 迦  
ZH_T05_0220a_095:0526a22_2	菩薩摩訶薩所行般若波羅蜜多，不應於一切陀羅尼門求，不應於一切三摩地門求；	菩薩摩訶薩 所 行 般 若 波羅蜜多  不 應 於 一 切 陀羅尼門 求  不 應 於 一 切 三 摩 地 門 求  
ZH_T05_0220a_095:0526a23_5	不應離一切陀羅尼門求，不應離一切三摩地門求。	不 應 離 一 切 陀羅尼門 求  不 應 離 一 切 三 摩 地 門 求  
ZH_T05_0220a_095:0526a23_10	所以者何？	所以者何  
ZH_T05_0220a_095:0526a28_8	若一切陀羅尼門，若一切三摩地門，若離一切陀羅尼門，若離一切三摩地門，若菩薩摩訶薩，若般若波羅蜜多，若求如是，一切皆非相應非不相應、非有色非無色、非有見非無見、非有對非無對，咸同一相，所謂無相。	若 一 切 陀羅尼門  若 一 切 三 摩 地 門  若 離 一 切 陀羅尼門  若 離 一 切 三 摩 地 門  若 菩薩摩訶薩  若 般 若 波羅蜜多  若 求 如 是  一 切 皆 非 相 應 非 不 相 應  非 有 色 非 無 色  非 有 見 非 無 見  非 有 對 非 無 對  咸 同 一 相  所 謂 無 相  
ZH_T05_0220a_095:0526a28_12	何以故？	何 以 故  
ZH_T05_0220a_095:0526a28_16	憍尸迦！	憍 尸 迦  
ZH_T05_0220a_095:0526b01_7	菩薩摩訶薩所行般若波羅蜜多，非一切陀羅尼門，非一切三摩地門；	菩薩摩訶薩 所 行 般 若 波羅蜜多  非 一 切 陀羅尼門  非 一 切 三 摩 地 門  
ZH_T05_0220a_095:0526b02_6	非離一切陀羅尼門，非離一切三摩地門。	非 離 一 切 陀羅尼門  非 離 一 切 三 摩 地 門  
ZH_T05_0220a_095:0526b02_11	所以者何？	所以者何  
ZH_T05_0220a_095:0526b03_5	如是一切皆無所有性不可得。	如是一切 皆 無 所 有 性 不 可 得  
ZH_T05_0220a_095:0526b05_6	由無所有不可得故，菩薩摩訶薩所行般若波羅蜜多，非一切陀羅尼門，非一切三摩地門；	由 無 所 有 不 可 得 故  菩薩摩訶薩 所 行 般 若 波羅蜜多  非 一 切 陀羅尼門  非 一 切 三 摩 地 門  
ZH_T05_0220a_095:0526b06_5	非離一切陀羅尼門，非離一切三摩地門。	非 離 一 切 陀羅尼門  非 離 一 切 三 摩 地 門  
ZH_T05_0220a_095:0526b08_6	是故菩薩摩訶薩所行般若波羅蜜多，不應於一切陀羅尼門求，不應於一切三摩地門求；	是 故 菩薩摩訶薩 所 行 般 若 波羅蜜多  不 應 於 一 切 陀羅尼門 求  不 應 於 一 切 三 摩 地 門 求  
ZH_T05_0220a_095:0526b09_9	不應離一切陀羅尼門求，不應離一切三摩地門求。	不 應 離 一 切 陀羅尼門 求  不 應 離 一 切 三 摩 地 門 求  
ZH_T05_0220a_095:0526b10_4	「憍尸迦！	 憍 尸 迦  
ZH_T05_0220a_095:0526b11_19	菩薩摩訶薩所行般若波羅蜜多，不應於預流求，不應於一來、不還、阿羅漢求；	菩薩摩訶薩 所 行 般 若 波羅蜜多  不 應 於 預 流 求  不 應 於 一 來  不 還  阿 羅 漢 求  
ZH_T05_0220a_095:0526b12_19	不應離預流求，不應離一來、不還、阿羅漢求。	不 應 離 預 流 求  不 應 離 一 來  不 還  阿 羅 漢 求  
ZH_T05_0220a_095:0526b13_3	所以者何？	所以者何  
ZH_T05_0220a_095:0526b17_15	若預流，若一來、不還、阿羅漢，若離預流，若離一來、不還、阿羅漢，若菩薩摩訶薩，若般若波羅蜜多，若求如是，一切皆非相應非不相應、非有色非無色、非有見非無見、非有對非無對，咸同一相，所謂無相。	若 預 流  若 一 來  不 還  阿 羅 漢  若 離 預 流  若 離 一 來  不 還  阿 羅 漢  若 菩薩摩訶薩  若 般 若 波羅蜜多  若 求 如 是  一 切 皆 非 相 應 非 不 相 應  非 有 色 非 無 色  非 有 見 非 無 見  非 有 對 非 無 對  咸 同 一 相  所 謂 無 相  
ZH_T05_0220a_095:0526b17_19	何以故？	何 以 故  
ZH_T05_0220a_095:0526b18_3	憍尸迦！	憍 尸 迦  
ZH_T05_0220a_095:0526b19_13	菩薩摩訶薩所行般若波羅蜜多，非預流，非一來、不還、阿羅漢；	菩薩摩訶薩 所 行 般 若 波羅蜜多  非 預 流  非 一 來  不 還  阿 羅 漢  
ZH_T05_0220a_095:0526b20_9	非離預流，非離一來、不還、阿羅漢。	非 離 預 流  非 離 一 來  不 還  阿 羅 漢  
ZH_T05_0220a_095:0526b20_14	所以者何？	所以者何  
ZH_T05_0220a_095:0526b21_6	如是一切皆無所有性不可得。	如是一切 皆 無 所 有 性 不 可 得  
ZH_T05_0220a_095:0526b23_5	由無所有不可得故，菩薩摩訶薩所行般若波羅蜜多，非預流，非一來、不還、阿羅漢；	由 無 所 有 不 可 得 故  菩薩摩訶薩 所 行 般 若 波羅蜜多  非 預 流  非 一 來  不 還  阿 羅 漢  
ZH_T05_0220a_095:0526b23_22	非離預流，非離一來、不還、阿羅漢。	非 離 預 流  非 離 一 來  不 還  阿 羅 漢  
ZH_T05_0220a_095:0526b25_18	是故菩薩摩訶薩所行般若波羅蜜多，不應於預流求，不應於一來、不還、阿羅漢求；	是 故 菩薩摩訶薩 所 行 般 若 波羅蜜多  不 應 於 預 流 求  不 應 於 一 來  不 還  阿 羅 漢 求  
ZH_T05_0220a_095:0526b26_18	不應離預流求，不應離一來、不還、阿羅漢求。	不 應 離 預 流 求  不 應 離 一 來  不 還  阿 羅 漢 求  
ZH_T05_0220a_095:0526b27_4	「憍尸迦！	 憍 尸 迦  
ZH_T05_0220a_095:0526b29_18	菩薩摩訶薩所行般若波羅蜜多，不應於預流向預流果求，不應於一來向一來果、不還向不還果、阿羅漢向阿羅漢果求；	菩薩摩訶薩 所 行 般 若 波羅蜜多  不 應 於 預 流 向 預 流 果 求  不 應 於 一 來 向 一 來 果  不 還 向 不 還 果  阿羅漢向 阿羅漢果 求  
ZH_T05_0220a_095:0526c02_5	不應離預流向預流果求，不應離一來向乃至阿羅漢果求。	不 應 離 預 流 向 預 流 果 求  不 應 離 一 來 向 乃 至 阿羅漢果 求  
ZH_T05_0220a_095:0526c02_10	所以者何？	所以者何  
ZH_T05_0220a_095:0526c07_15	若預流向預流果，若一來向乃至阿羅漢果，若離預流向預流果，若離一來向乃至阿羅漢果，若菩薩摩訶薩，若般若波羅蜜多，若求如是，一切皆非相應非不相應、非有色非無色、非有見非無見、非有對非無對，咸同一相，所謂無相。	若 預 流 向 預 流 果  若 一 來 向 乃 至 阿羅漢果  若 離 預 流 向 預 流 果  若 離 一 來 向 乃 至 阿羅漢果  若 菩薩摩訶薩  若 般 若 波羅蜜多  若 求 如 是  一 切 皆 非 相 應 非 不 相 應  非 有 色 非 無 色  非 有 見 非 無 見  非 有 對 非 無 對  咸 同 一 相  所 謂 無 相  
ZH_T05_0220a_095:0526c07_19	何以故？	何 以 故  
ZH_T05_0220a_095:0526c08_3	憍尸迦！	憍 尸 迦  
ZH_T05_0220a_095:0526c10_11	菩薩摩訶薩所行般若波羅蜜多，非預流向預流果，非一來向一來果、不還向不還果、阿羅漢向阿羅漢果；	菩薩摩訶薩 所 行 般 若 波羅蜜多  非 預 流 向 預 流 果  非 一 來 向 一 來 果  不 還 向 不 還 果  阿羅漢向 阿羅漢果  
