segmentnr	original	folio	stemmed
ZH_T07_0220o_600:1105c03_0	8大般若波羅蜜多經卷第六百	600	8 大 般 若 波羅蜜多 經 卷 第 六 百 
ZH_T07_0220o_600:1105c05_0	三藏法師玄奘奉　詔譯	600	三藏法師 玄 奘 奉  詔 譯 
ZH_T07_0220o_600:1105c06_0	第十六般若波羅蜜多分之八	600	第 十 六 般 若 波羅蜜多 分 之 八 
ZH_T07_0220o_600:1105c07_7	「復次，善勇猛！	600	 復 次  善 勇 猛  
ZH_T07_0220o_600:1105c09_2	若諸菩薩修行般若波羅蜜多，不行色開顯不開顯，不行受、想、行、識開顯不開顯；	600	若 諸 菩薩修行 般 若 波羅蜜多  不 行 色 開 顯 不 開 顯  不 行 受  想  行  識 開 顯 不 開 顯  
ZH_T07_0220o_600:1105c10_5	不行眼開顯不開顯，不行耳、鼻、舌、身、意開顯不開顯；	600	不 行 眼 開 顯 不 開 顯  不 行 耳  鼻  舌  身  意 開 顯 不 開 顯  
ZH_T07_0220o_600:1105c11_10	不行色開顯不開顯，不行聲、香、味、觸、法開顯不開顯；	600	不 行 色 開 顯 不 開 顯  不 行 聲  香  味  觸  法 開 顯 不 開 顯  
ZH_T07_0220o_600:1105c12_17	不行眼識開顯不開顯，不行耳、鼻、舌、身、意識開顯不開顯。	600	不 行 眼 識 開 顯 不 開 顯  不 行 耳  鼻  舌  身  意 識 開 顯 不 開 顯  
ZH_T07_0220o_600:1105c13_19	不行色寂靜不寂靜，不行受、想、行、識寂靜不寂靜；	600	不 行 色 寂 靜 不 寂 靜  不 行 受  想  行  識 寂 靜 不 寂 靜  
ZH_T07_0220o_600:1105c15_1	不行眼寂靜不寂靜，不行耳、鼻、舌、身、意寂靜不寂靜；	600	不 行 眼 寂 靜 不 寂 靜  不 行 耳  鼻  舌  身  意 寂 靜 不 寂 靜  
ZH_T07_0220o_600:1105c16_4	不行色寂靜不寂靜，不行聲、香、味、觸、法寂靜不寂靜；	600	不 行 色 寂 靜 不 寂 靜  不 行 聲  香  味  觸  法 寂 靜 不 寂 靜  
ZH_T07_0220o_600:1105c17_11	不行眼識寂靜不寂靜，不行耳、鼻、舌、身、意識寂靜不寂靜。	600	不 行 眼 識 寂 靜 不 寂 靜  不 行 耳  鼻  舌  身  意 識 寂 靜 不 寂 靜  
ZH_T07_0220o_600:1105c18_19	「不行色本性清淨不清淨，不行受、想、行、識本性清淨不清淨；	600	 不 行 色 本 性 清 淨 不 清 淨  不 行 受  想  行  識 本 性 清 淨 不 清 淨  
ZH_T07_0220o_600:1105c20_5	不行眼本性清淨不清淨，不行耳、鼻、舌、身、意本性清淨不清淨；	600	不 行 眼 本 性 清 淨 不 清 淨  不 行 耳  鼻  舌  身  意 本 性 清 淨 不 清 淨  
ZH_T07_0220o_600:1105c21_16	不行色本性清淨不清淨，不行聲、香、味、觸、法本性清淨不清淨；	600	不 行 色 本 性 清 淨 不 清 淨  不 行 聲  香  味  觸  法 本 性 清 淨 不 清 淨  
ZH_T07_0220o_600:1105c23_4	不行眼識本性清淨不清淨，不行耳、鼻、舌、身、意識本性清淨不清淨。	600	不 行 眼 識 本 性 清 淨 不 清 淨  不 行 耳  鼻  舌  身  意 識 本 性 清 淨 不 清 淨  
ZH_T07_0220o_600:1105c24_12	不行色本性開顯不開顯，不行受、想、行、識本性開顯不開顯；	600	不 行 色 本 性 開 顯 不 開 顯  不 行 受  想  行  識 本 性 開 顯 不 開 顯  
ZH_T07_0220o_600:1105c25_22	不行眼本性開顯不開顯，不行耳、鼻、舌、身、意本性開顯不開顯；	600	不 行 眼 本 性 開 顯 不 開 顯  不 行 耳  鼻  舌  身  意 本 性 開 顯 不 開 顯  
ZH_T07_0220o_600:1105c27_7	不行色本性開顯不開顯，不行聲、香、味、觸、法本性開顯不開顯；	600	不 行 色 本 性 開 顯 不 開 顯  不 行 聲  香  味  觸  法 本 性 開 顯 不 開 顯  
ZH_T07_0220o_600:1105c28_21	不行眼識本性開顯不開顯，不行耳、鼻、舌、身、意識本性開顯不開顯。	600	不 行 眼 識 本 性 開 顯 不 開 顯  不 行 耳  鼻  舌  身  意 識 本 性 開 顯 不 開 顯  
ZH_T07_0220o_600:1106a01_5	不行色本性寂靜不寂靜，不行受、想、行、識本性寂靜不寂靜；	600	不 行 色 本 性 寂 靜 不 寂 靜  不 行 受  想  行  識 本 性 寂 靜 不 寂 靜  
ZH_T07_0220o_600:1106a02_16	不行眼本性寂靜不寂靜，不行耳、鼻、舌、身、意本性寂靜不寂靜；	600	不 行 眼 本 性 寂 靜 不 寂 靜  不 行 耳  鼻  舌  身  意 本 性 寂 靜 不 寂 靜  
ZH_T07_0220o_600:1106a04_2	不行色本性寂靜不寂靜，不行聲、香、味、觸、法本性寂靜不寂靜；	600	不 行 色 本 性 寂 靜 不 寂 靜  不 行 聲  香  味  觸  法 本 性 寂 靜 不 寂 靜  
ZH_T07_0220o_600:1106a05_13	不行眼識本性寂靜不寂靜，不行耳、鼻、舌、身、意識本性寂靜不寂靜。	600	不 行 眼 識 本 性 寂 靜 不 寂 靜  不 行 耳  鼻  舌  身  意 識 本 性 寂 靜 不 寂 靜  
ZH_T07_0220o_600:1106a06_21	不行色本性遠離不遠離，不行受、想、行、識本性遠離不遠離；	600	不 行 色 本 性 遠 離 不 遠 離  不 行 受  想  行  識 本 性 遠 離 不 遠 離  
ZH_T07_0220o_600:1106a08_7	不行眼本性遠離不遠離，不行耳、鼻、舌、身、意本性遠離不遠離；	600	不 行 眼 本 性 遠 離 不 遠 離  不 行 耳  鼻  舌  身  意 本 性 遠 離 不 遠 離  
ZH_T07_0220o_600:1106a09_18	不行色本性遠離不遠離，不行聲、香、味、觸、法本性遠離不遠離；	600	不 行 色 本 性 遠 離 不 遠 離  不 行 聲  香  味  觸  法 本 性 遠 離 不 遠 離  
ZH_T07_0220o_600:1106a11_6	不行眼識本性遠離不遠離，不行耳、鼻、舌、身、意識本性遠離不遠離。	600	不 行 眼 識 本 性 遠 離 不 遠 離  不 行 耳  鼻  舌  身  意 識 本 性 遠 離 不 遠 離  
