segmentnr	original	folio	stemmed
ZH_T11_0310_120:0678c07_0	大寶積經卷第一百二十	120	大 寶 積 經 卷 第 一 百 二 十 
ZH_T11_0310_120:0678c09_0	大唐三藏菩提流志奉　詔譯	120	大 唐 三 藏 菩 提 流 志 奉  詔 譯 
ZH_T11_0310_120:0678c10_0	49 廣博仙人會廣博仙人會第四十九	120	4 9   廣 博 仙 人 會 廣 博 仙 人 會 第 四 十 九 
ZH_T11_0310_120:0678c11_4	如是我聞：	120	如是我聞  
ZH_T11_0310_120:0678c11_17	一時佛在無鬪戰城恒河岸上。	120	一 時 佛 在 無 鬪 戰 城 恒 河 岸 上  
ZH_T11_0310_120:0678c17_1	時有無量諸比丘眾尊者阿難、摩訶迦葉、舍利弗、薄拘羅、離婆多、阿若憍陳如等，所作已辦離諸塵染，諸漏已盡不復退轉，禪誦經行無暫懈息，或如群鴈遊止寂靜，或在林間常處禪定，安住如來光明教門，調伏諸根得無所畏。	120	時 有 無 量 諸 比 丘 眾 尊 者 阿 難  摩 訶 迦 葉  舍 利 弗  薄 拘 羅  離 婆 多  阿 若 憍 陳 如 等  所 作 已 辦 離 諸 塵 染  諸漏已盡 不 復 退 轉  禪 誦 經 行 無 暫 懈 息  或 如 群 鴈 遊 止 寂 靜  或 在 林 間 常 處 禪 定  安 住 如 來 光 明 教 門  調伏諸根 得無所畏  
ZH_T11_0310_120:0678c19_5	時娑羅雞林枝葉繁茂香花布地，拘枳羅鳥、迦陵伽鳥、鵝王群蜂棲集和鳴，能令眾生離諸昏墮。	120	時 娑 羅 雞 林 枝 葉 繁 茂 香 花 布 地  拘 枳 羅 鳥  迦 陵 伽 鳥  鵝 王 群 蜂 棲 集 和 鳴  能 令 眾 生 離 諸 昏 墮  
ZH_T11_0310_120:0678c19_14	爾時如來告諸比丘：	120	爾 時 如 來 告 諸 比 丘  
ZH_T11_0310_120:0678c20_13	「汝等應當勤作所作，以於戒儀而自蔭覆。	120	 汝 等 應 當 勤 作 所 作  以 於 戒 儀 而 自 蔭 覆  
ZH_T11_0310_120:0678c22_6	」是時西方忽然輝耀如日輪光，尊者阿難未離欲故，白言：	120	 是 時 西 方 忽 然 輝 耀 如 日 輪 光  尊 者 阿 難 未 離 欲 故  白 言  
ZH_T11_0310_120:0678c22_10	「世尊！	120	 世 尊  
ZH_T11_0310_120:0678c22_19	今此光明是何之相？	120	今 此 光 明 是 何 之 相  
ZH_T11_0310_120:0678c22_23	」佛言：	120	 佛 言  
ZH_T11_0310_120:0678c23_3	「阿難！	120	 阿 難  
ZH_T11_0310_120:0678c24_1	是五通仙最勝上者黑香之子，名曰廣博。	120	是 五 通 仙 最 勝 上 者 黑 香 之 子  名 曰 廣 博  
ZH_T11_0310_120:0678c28_1	節食羸瘦身無光潤，與其同行五百人俱，所謂不白仙人、天人仙人、苫波野那仙人、丹荼野那仙人、迦摩野那仙人、迷佉那斯仙人、疑味仙人、度羅仙人等，前後圍遶當來詣我。	120	節 食 羸 瘦 身 無 光 潤  與 其 同 行 五 百 人 俱  所 謂 不 白 仙 人  天 人 仙 人  苫 波 野 那 仙 人  丹 荼 野 那 仙 人  迦 摩 野 那 仙 人  迷 佉 那 斯 仙 人  疑 味 仙 人  度 羅 仙 人 等  前 後 圍 遶 當 來 詣 我  
ZH_T11_0310_120:0678c29_11	」爾時廣博仙人遙覩世尊身意寂靜處在林藪，為諸比丘之所侍衛。	120	 爾 時 廣 博 仙 人 遙 覩 世 尊 身 意 寂 靜 處 在 林 藪  為 諸 比 丘 之 所 侍 衛  
ZH_T11_0310_120:0678c29_16	即自思惟：	120	即 自 思 惟  
ZH_T11_0310_120:0679a01_1	「奇哉尊貴！	120	 奇 哉 尊 貴  
ZH_T11_0310_120:0679a03_9	一切智處色相具足，捨去群臣轉輪王位六萬綵女如棄毒食，苦行山林離諸欲樂，名稱普聞，誠不虛也。	120	一 切 智 處 色 相 具 足  捨 去 群 臣 轉輪王位 六 萬 綵 女 如 棄 毒 食  苦 行 山 林 離 諸 欲 樂  名稱普聞  誠 不 虛 也  
ZH_T11_0310_120:0679a04_17	」時彼眾中有一仙人，字那剌陀，遙瞻如來心生歡喜，即說頌曰：	120	 時 彼 眾 中 有 一 仙 人  字 那 剌 陀  遙 瞻 如 來 心生歡喜  即 說 頌 曰  
ZH_T11_0310_120:0679a05_18	「瞻彼青花樹林下，　　猶紫金聚者何人？	120	 瞻 彼 青 花 樹 林 下    猶 紫 金 聚 者 何 人  
ZH_T11_0310_120:0679a06_17	彌樓妙寶流焰光，　　亦如秋月無氛翳。	120	彌 樓 妙 寶 流 焰 光    亦 如 秋 月 無 氛 翳  
ZH_T11_0310_120:0679a07_17	」爾時諸仙皆懷悅豫，合掌恭敬漸詣佛所。	120	 爾 時 諸 仙 皆 懷 悅 豫  合掌恭敬 漸 詣 佛 所  
ZH_T11_0310_120:0679a08_7	於時世尊告諸比丘：	120	於 時 世 尊 告 諸 比 丘  
ZH_T11_0310_120:0679a11_4	「汝等觀彼閻浮洲中諸仙人等，蓬髮上靡棲止林莽塗灰却粒，或月半月節食羸瘦，鹿皮樹皮以充衣服，不剪髮爪蹲處露地。	120	 汝 等 觀 彼 閻 浮 洲 中 諸 仙 人 等  蓬 髮 上 靡 棲 止 林 莽 塗 灰 却 粒  或 月 半 月 節 食 羸 瘦  鹿 皮 樹 皮 以 充 衣 服  不 剪 髮 爪 蹲 處 露 地  
ZH_T11_0310_120:0679a12_12	或如煙炭黑蜂之色，呪術祭火以為吉祥，空地樹下隨處而居。	120	或 如 煙 炭 黑 蜂 之 色  呪 術 祭 火 以 為 吉 祥  空 地 樹 下 隨 處 而 居  
ZH_T11_0310_120:0679a14_1	或墜高巖或投深水，炎火赫日炙身苦體，恃其種姓離無上智。	120	或 墜 高 巖 或 投 深 水  炎 火 赫 日 炙 身 苦 體  恃 其 種 姓 離 無 上 智  
ZH_T11_0310_120:0679a15_10	比丘當知，此諸仙人見不清淨耽著諸有，輪迴生死不能出離。	120	比 丘 當 知  此 諸 仙 人 見 不 清 淨 耽 著 諸 有  輪迴生死 不 能 出 離  
ZH_T11_0310_120:0679a16_9	」時諸比丘聞佛世尊作是說已，同聲白言：	120	 時 諸 比 丘 聞 佛 世 尊 作是說已  同 聲 白 言  
ZH_T11_0310_120:0679a17_12	「我等今者由依如來勤修梵行，於諸有中永當出離。	120	 我 等 今 者 由 依 如 來 勤 修 梵 行  於 諸 有 中 永 當 出 離  
ZH_T11_0310_120:0679a19_14	」爾時廣博仙人與其同類漸至佛所，覩諸羅漢威德尊嚴，內懷傾悚曲躬低視。	120	 爾 時 廣 博 仙 人 與 其 同 類 漸 至 佛 所  覩 諸 羅 漢 威 德 尊 嚴  內 懷 傾 悚 曲 躬 低 視  
ZH_T11_0310_120:0679a21_13	各結散髮，身佩白繩，顏容黑暗，兩目黃綠，頭髮枯燥，執三拒木，身形卑陋，或行虛空。	120	各 結 散 髮  身 佩 白 繩  顏 容 黑 暗  兩 目 黃 綠  頭 髮 枯 燥  執 三 拒 木  身 形 卑 陋  或 行 虛 空  
ZH_T11_0310_120:0679a22_6	或談俗典，至如來前，白言：	120	或 談 俗 典  至 如 來 前  白 言  
ZH_T11_0310_120:0679a22_10	「世尊！	120	 世 尊  
ZH_T11_0310_120:0679a22_20	今此眾會，願佛知時。	120	今 此 眾 會  願 佛 知 時  
ZH_T11_0310_120:0679a22_24	」佛言：	120	 佛 言  
ZH_T11_0310_120:0679a23_3	「廣博！	120	 廣 博  
ZH_T11_0310_120:0679a23_16	我已了知諸有受生及於自性。	120	我 已 了 知 諸 有 受 生 及 於 自 性  
ZH_T11_0310_120:0679a24_3	」時阿難陀白言：	120	 時 阿 難 陀 白 言  
ZH_T11_0310_120:0679a24_7	「世尊！	120	 世 尊  
ZH_T11_0310_120:0679a25_5	此何仙人眾所圍遶，詞慧通敏頂髮上靡？	120	此 何 仙 人 眾 所 圍 遶  詞 慧 通 敏 頂 髮 上 靡  
ZH_T11_0310_120:0679a25_9	」佛言：	120	 佛 言  
ZH_T11_0310_120:0679a25_13	「阿難！	120	 阿 難  
ZH_T11_0310_120:0679a26_19	此是廣博，作圍陀典，奉持習行賒羯羅教，造諸種種世俗文字。	120	此 是 廣 博  作 圍 陀 典  奉 持 習 行 賒 羯 羅 教  造 諸 種 種 世 俗 文 字  
ZH_T11_0310_120:0679a27_10	」爾時諸羅漢等共相謂言：	120	 爾 時 諸 羅 漢 等 共 相 謂 言  
ZH_T11_0310_120:0679a28_14	「而此仙人有何所得，苦行如是於生死中而不解脫？	120	 而 此 仙 人 有 何 所 得  苦 行 如 是 於 生 死 中 而 不 解 脫  
ZH_T11_0310_120:0679a28_20	」復自思惟：	120	 復 自 思 惟  
ZH_T11_0310_120:0679a29_14	「此仙人眾今來佛所，當何所問？	120	 此 仙 人 眾 今 來 佛 所  當 何 所 問  
ZH_T11_0310_120:0679a29_19	為因緣耶？	120	為 因 緣 耶  
ZH_T11_0310_120:0679b01_3	為無我耶？	120	為 無 我 耶  
ZH_T11_0310_120:0679b01_17	」爾時廣博仙人合掌向佛白言：	120	 爾 時 廣 博 仙 人 合 掌 向 佛 白 言  
ZH_T11_0310_120:0679b01_21	「世尊！	120	 世 尊  
ZH_T11_0310_120:0679b02_9	佛出現難，眾會亦難。	120	佛 出 現 難  眾 會 亦 難  
ZH_T11_0310_120:0679b03_3	我於今者有少疑問，願垂哀愍。	120	我 於 今 者 有 少 疑 問  願 垂 哀 愍  
ZH_T11_0310_120:0679b03_7	」佛言：	120	 佛 言  
ZH_T11_0310_120:0679b03_11	「大仙！	120	 大 仙  
ZH_T11_0310_120:0679b03_21	恣汝所問，當為解說。	120	恣 汝 所 問  當 為 解 說  
ZH_T11_0310_120:0679b04_2	」廣博仙言：	120	 廣 博 仙 言  
ZH_T11_0310_120:0679b04_8	「云何為施？	120	 云 何 為 施  
ZH_T11_0310_120:0679b04_13	何者施義？	120	何 者 施 義  
ZH_T11_0310_120:0679b04_18	云何施主？	120	云 何 施 主  
ZH_T11_0310_120:0679b05_1	施主何義？	120	施 主 何 義  
ZH_T11_0310_120:0679b05_10	云何施者不名施主？	120	云 何 施 者 不 名 施 主  
ZH_T11_0310_120:0679b05_19	云何施主不名施者？	120	云 何 施 主 不 名 施 者  
ZH_T11_0310_120:0679b06_12	云何行施於受施者而獲福報？	120	云 何 行 施 於 受 施 者 而 獲 福 報  
ZH_T11_0310_120:0679b07_17	云何施已，若現在世、若命終後，施福隨行為積為聚？	120	云 何 施 已  若 現 在 世  若 命 終 後  施 福 隨 行 為 積 為 聚  
