segmentnr	original	folio	stemmed
ZH_T14_0446b_001:0371a13_0	過去莊嚴劫千佛名經一名「集諸佛大功德山」	001	過 去 莊 嚴 劫 千 佛 名 經 一 名  集 諸 佛 大 功 德 山  
ZH_T14_0446b_001:0371a15_0	開元拾遺附梁錄	001	開 元 拾 遺 附 梁 錄 
ZH_T14_0446b_001:0371a16_0	經云：「若有善男子、善女人，聞是三世三劫諸	001	經 云   若 有 善 男 子  善 女 人  聞 是 三 世 三 劫 諸 
ZH_T14_0446b_001:0371a21_7	佛名號，歡喜信樂、稱揚讚歎、歸命頂禮，復能書寫、為他人說，或能畫作、立佛形像，或能供養香華、妓樂，歎佛功德，志心作禮者，勝用十方諸佛國土，滿中珍寶，純摩尼珠，積至梵天，百千劫中布施者。	001	佛 名 號  歡 喜 信 樂  稱揚讚歎  歸 命 頂 禮  復 能 書 寫  為 他 人 說  或 能 畫 作  立 佛 形 像  或 能 供 養 香 華  妓 樂  歎佛功德  志 心 作 禮 者  勝 用 十方諸佛 國 土  滿 中 珍 寶  純 摩 尼 珠  積 至 梵 天  百 千 劫 中 布 施 者  
ZH_T14_0446b_001:0371a26_6	是善男子、善女人等，已曾供養是諸佛已，後生之處歷侍諸佛，至于作佛，而無窮盡，皆當為三世三劫中，佛之所授決，所生之處常遇三寶，得生諸佛剎土，六根完具，不墮八難，當得諸佛三十二相、八十種好，具足莊嚴。	001	是 善 男 子  善 女 人 等  已曾供養 是 諸 佛 已  後 生 之 處 歷 侍 諸 佛  至 于 作 佛  而 無 窮 盡  皆 當 為 三 世 三 劫 中  佛 之 所 授 決  所 生 之 處 常 遇 三 寶  得 生 諸 佛 剎 土  六 根 完 具  不 墮 八 難  當 得 諸 佛 三十二相  八十種好  具 足 莊 嚴  
ZH_T14_0446b_001:0371a26_20	若能五體投地作禮，口自宣言：	001	若 能 五體投地 作 禮  口 自 宣 言  
ZH_T14_0446b_001:0371b01_1	『我今普禮一切十方三世諸佛，願三塗休息，國豐民安，邪見眾生，回向正道，發菩提心，持此功德，願共六道一切眾生，皆生無量壽佛國。	001	 我 今 普 禮 一 切 十 方 三世諸佛  願 三 塗 休 息  國 豐 民 安  邪 見 眾 生  回 向 正 道  發菩提心  持 此 功 德  願 共 六 道 一 切 眾 生  皆 生 無 量 壽 佛 國  
ZH_T14_0446b_001:0371b03_4	』立大誓願，使諸眾生，悉生彼剎，身諸相好，智慧辯才，如阿彌陀佛，所獲果報，巍巍堂堂，壽命無量。	001	 立 大 誓 願  使 諸 眾 生  悉 生 彼 剎  身 諸 相 好  智 慧 辯 才  如 阿 彌 陀 佛  所 獲 果 報  巍 巍 堂 堂  壽 命 無 量  
ZH_T14_0446b_001:0371c13_11_0	」南無華光佛、南無人中尊佛、南無師子步佛	001	」南無華光佛、南無人中尊佛、南無師子步佛
ZH_T14_0446b_001:0371c13_11_1	、南無能仁化佛、南無火奮迅通佛、南無曜聲	001	、南無能仁化佛、南無火奮迅通佛、南無曜聲
