segmentnr	original	stemmed
ZH_T17_0751b_001:0573c07_0	佛說五無返復經	佛 說 五 無 返 復 經 
ZH_T17_0751b_001:0573c09_0	宋居士沮渠京聲譯	宋 居 士 沮 渠 京 聲 譯 
ZH_T17_0751b_001:0573c10_0	聞如是：一時佛在舍衛國祇樹精舍，與千	聞 如 是  一 時 佛 在 舍 衛 國 祇 樹 精 舍  與 千 
ZH_T17_0751b_001:0573c11_7	二百五十比丘俱。	二百五十 比 丘 俱  
ZH_T17_0751b_001:0573c13_7	時有一梵志在羅閱祇國，聞舍衛人多慈孝順、奉經修道、供事三尊，便到舍衛國。	時 有 一 梵 志 在 羅 閱 祇 國  聞 舍 衛 人 多 慈 孝 順  奉 經 修 道  供 事 三 尊  便 到 舍 衛 國  
ZH_T17_0751b_001:0573c14_3	見父子二人耕地，毒蛇齧殺其子。	見 父 子 二 人 耕 地  毒 蛇 齧 殺 其 子  
ZH_T17_0751b_001:0573c14_16	父故耕，不視其子亦不啼哭。	父 故 耕  不 視 其 子 亦 不 啼 哭  
ZH_T17_0751b_001:0573c15_2	梵志問曰：	梵 志 問 曰  
ZH_T17_0751b_001:0573c15_8	「此兒誰子？	 此 兒 誰 子  
ZH_T17_0751b_001:0573c15_14	」耕者答言：	 耕 者 答 言  
ZH_T17_0751b_001:0573c15_20	「是我之子。	 是 我 之 子  
ZH_T17_0751b_001:0573c16_1	」梵志曰：	 梵 志 曰  
ZH_T17_0751b_001:0573c16_16	「是卿子者，何不啼哭而耕如故？	 是 卿 子 者  何 不 啼 哭 而 耕 如 故  
ZH_T17_0751b_001:0573c17_1	」其人答曰：	 其 人 答 曰  
ZH_T17_0751b_001:0573c18_10	「人生有死，物成有敗，善者有報，惡者有對，愁憂啼哭何所追逮？	 人 生 有 死  物 成 有 敗  善 者 有 報  惡 者 有 對  愁 憂 啼 哭 何 所 追 逮  
ZH_T17_0751b_001:0573c19_1	設不飲食，何益死者？	設 不 飲 食  何 益 死 者  
ZH_T17_0751b_001:0573c19_17	卿今入城，我家在某處，願過語之：	卿 今 入 城  我 家 在 某 處  願 過 語 之  
ZH_T17_0751b_001:0573c20_2	『吾子已死。	 吾 子 已 死  
ZH_T17_0751b_001:0573c20_10	不須持二人食來。	不 須 持 二 人 食 來  
ZH_T17_0751b_001:0573c20_17	』」梵志自念：	  梵 志 自 念  
ZH_T17_0751b_001:0573c21_16	「此人無返復，兒死在地，情不愁憂而反索食。	 此 人 無 返 復  兒 死 在 地  情 不 愁 憂 而 反 索 食  
ZH_T17_0751b_001:0573c22_7	此人不慈，無有比類。	此 人 不 慈  無 有 比 類  
ZH_T17_0751b_001:0573c23_9	」梵志便行入城，詣耕者家，見死兒母，即便語之：	 梵 志 便 行 入 城  詣 耕 者 家  見 死 兒 母  即 便 語 之  
ZH_T17_0751b_001:0573c23_15	「卿兒已死。	 卿 兒 已 死  
ZH_T17_0751b_001:0573c23_18	父言：	父 言  
ZH_T17_0751b_001:0573c24_4	『但持一人食來。	 但 持 一 人 食 來  
ZH_T17_0751b_001:0573c24_12	』何以不念子耶？	 何 以 不 念 子 耶  
ZH_T17_0751b_001:0573c25_4	」兒母逆為梵志說譬喻言：	 兒 母 逆 為 梵 志 說 譬 喻 言  
ZH_T17_0751b_001:0573c25_15	「子者如客，來依人止。	 子 者 如 客  來 依 人 止  
ZH_T17_0751b_001:0573c26_4	來亦不却，去亦不留。	來 亦 不 却  去 亦 不 留  
ZH_T17_0751b_001:0573c27_6	此兒本我亦不喚來自來過我生，死亦自去。	此 兒 本 我 亦 不 喚 來 自 來 過 我 生  死 亦 自 去  
ZH_T17_0751b_001:0573c28_4	非我力乃使進退，隨其本行追命所生。	非 我 力 乃 使 進 退  隨 其 本 行 追 命 所 生  
