segmentnr	original	stemmed
ZH_T41_1822_01a:0453a05_0	沙門法寶撰	沙 門 法 寶 撰 
ZH_T41_1822_01a:0453a06_0	將釋此論五門分別。第一會初轉法輪時。	將 釋 此 論 五 門 分 別  第 一 會 初轉法輪 時  
ZH_T41_1822_01a:0453a07_0	二學行次第。三教起因緣。四部執先後。五依	二 學 行 次 第  三 教 起 因 緣  四 部 執 先 後  五 依 
ZH_T41_1822_01a:0453a08_12	文解釋　一會初轉法輪時者。	文 解 釋  一 會 初轉法輪 時 者  
ZH_T41_1822_01a:0453a08_17	於中有四。	於 中 有 四  
ZH_T41_1822_01a:0453a09_5	一定成道日。	一 定 成 道 日  
ZH_T41_1822_01a:0453a09_12	二定轉法輪日。	二 定 轉 法 輪 日  
ZH_T41_1822_01a:0453a10_1	三述中間事別。	三 述 中 間 事 別  
ZH_T41_1822_01a:0453a10_14	四會說不同　一定成道日者。	四 會 說 不 同  一 定 成 道 日 者  
ZH_T41_1822_01a:0453a11_5	依長阿含經第四云。	依 長 阿 含 經 第 四 云  
ZH_T41_1822_01a:0453a11_11	八日如來生。	八 日 如 來 生  
ZH_T41_1822_01a:0453a11_17	八日佛出家。	八 日 佛 出 家  
ZH_T41_1822_01a:0453a12_4	八日成菩提。	八 日 成 菩 提  
ZH_T41_1822_01a:0453a12_14	八日取滅度　次文云。	八 日 取 滅 度  次 文 云  
ZH_T41_1822_01a:0453a13_1	二月如來生。	二 月 如 來 生  
ZH_T41_1822_01a:0453a13_7	二月佛出家。	二 月 佛 出 家  
ZH_T41_1822_01a:0453a13_13	二月成菩提。	二 月 成 菩 提  
ZH_T41_1822_01a:0453a14_6	二月取涅槃　又灌佛經云。	二 月 取 涅 槃  又 灌 佛 經 云  
ZH_T41_1822_01a:0453a14_12	佛告諸天人。	佛 告 諸 天 人  
ZH_T41_1822_01a:0453a14_17	十方諸佛。	十方諸佛  
ZH_T41_1822_01a:0453a15_8	皆用四月八日夜半時生。	皆 用 四 月 八 日 夜 半 時 生  
ZH_T41_1822_01a:0453a16_2	皆用四月八日夜半時出家。	皆 用 四 月 八 日 夜 半 時 出 家  
ZH_T41_1822_01a:0453a16_14	皆用四月八日夜半時成道。	皆 用 四 月 八 日 夜 半 時 成 道  
ZH_T41_1822_01a:0453a17_5	皆用四月八日夜半時。	皆 用 四 月 八 日 夜 半 時  
ZH_T41_1822_01a:0453a17_10	而般涅槃。	而 般 涅 槃  
ZH_T41_1822_01a:0453a17_17	諸經八日皆同。	諸 經 八 日 皆 同  
ZH_T41_1822_01a:0453a18_2	說月有異。	說 月 有 異  
ZH_T41_1822_01a:0453a18_8	唯二．四別。	唯 二  四 別  
ZH_T41_1822_01a:0453a18_18	不言餘月　准上二說。	不 言 餘 月  准 上 二 說  
ZH_T41_1822_01a:0453a19_3	說雖有異。	說 雖 有 異  
ZH_T41_1822_01a:0453a19_12	成道月日即是同也。	成 道 月 日 即 是 同 也  
ZH_T41_1822_01a:0453a19_17	所以得知。	所 以 得 知  
ZH_T41_1822_01a:0453a20_3	略有二理。	略 有 二 理  
ZH_T41_1822_01a:0453a20_10	一以立正異故。	一 以 立 正 異 故  
ZH_T41_1822_01a:0453a21_2	婆羅門國以建子立正。	婆羅門國 以 建 子 立 正  
ZH_T41_1822_01a:0453a21_12	此方先時以建寅立正。	此 方 先 時 以 建 寅 立 正  
ZH_T41_1822_01a:0453a21_17	建子四月。	建 子 四 月  
ZH_T41_1822_01a:0453a22_4	即建寅二月。	即 建 寅 二 月  
ZH_T41_1822_01a:0453a22_14	故存梵本者而言四月。	故 存 梵 本 者 而 言 四 月  
ZH_T41_1822_01a:0453a23_1	依此方者。	依 此 方 者  
ZH_T41_1822_01a:0453a23_6	即云二月。	即 云 二 月  
ZH_T41_1822_01a:0453a24_2	根本一也　二准智論．及婆沙計。	根 本 一 也  二 准 智 論  及 婆 沙 計  
ZH_T41_1822_01a:0453a24_11	梵王請前五十七日。	梵 王 請 前 五 十 七 日  
