segmentnr	original	folio	stemmed
ZH_T47_1998A_002:0815c24_0	2大慧普覺禪師住徑山能仁禪院	002	2 大 慧 普 覺 禪 師 住 徑 山 能 仁 禪 院 
ZH_T47_1998A_002:0815c25_0	語錄卷第二	002	語 錄 卷 第 二 
ZH_T47_1998A_002:0815c27_0	徑山能仁禪院住持嗣法	002	徑 山 能 仁 禪 院 住 持 嗣 法 
ZH_T47_1998A_002:0816a01_1	慧日禪師臣蘊聞　上進大堂舉白雲端師翁道若端的得一回汗出也。	002	慧 日 禪 師 臣 蘊 聞  上 進 大 堂 舉 白 雲 端 師 翁 道 若 端 的 得 一 回 汗 出 也  
ZH_T47_1998A_002:0816a01_8	便向一莖草上。	002	便 向 一 莖 草 上  
ZH_T47_1998A_002:0816a01_14	現瓊樓玉殿。	002	現 瓊 樓 玉 殿  
ZH_T47_1998A_002:0816a02_4	若未端的得一回汗出。	002	若 未 端 的 得 一 回 汗 出  
ZH_T47_1998A_002:0816a02_11	縱有瓊樓玉殿。	002	縱 有 瓊 樓 玉 殿  
ZH_T47_1998A_002:0816a02_19	却被一莖草蓋却。	002	却 被 一 莖 草 蓋 却  
ZH_T47_1998A_002:0816a03_2	師云。	002	師 云  
ZH_T47_1998A_002:0816a03_12	一莖草上現瓊樓玉殿。	002	一 莖 草 上 現 瓊 樓 玉 殿  
ZH_T47_1998A_002:0816a03_17	決定可信。	002	決 定 可 信  
ZH_T47_1998A_002:0816a04_8	瓊樓玉殿被一莖草蓋却。	002	瓊 樓 玉 殿 被 一 莖 草 蓋 却  
ZH_T47_1998A_002:0816a04_14	莫被他熱謾。	002	莫 被 他 熱 謾  
ZH_T47_1998A_002:0816a05_1	徑山恁麼道。	002	徑 山 恁 麼 道  
ZH_T47_1998A_002:0816a05_11	為已得一回汗出者說。	002	為 已 得 一 回 汗 出 者 說  
ZH_T47_1998A_002:0816a06_1	若未得一回汗出者。	002	若 未 得 一 回 汗 出 者  
ZH_T47_1998A_002:0816a06_7	切不得疑著。	002	切 不 得 疑 著  
ZH_T47_1998A_002:0816a07_5	天申節上堂。	002	天 申 節 上 堂  
ZH_T47_1998A_002:0816a07_13	稽首能度諸世間。	002	稽 首 能 度 諸 世 間  
ZH_T47_1998A_002:0816a08_2	無量殊勝福德聚。	002	無 量 殊 勝 福 德 聚  
ZH_T47_1998A_002:0816a08_10	金輪統御四天下。	002	金 輪 統 御 四 天 下  
ZH_T47_1998A_002:0816a08_18	普施群生安隱樂。	002	普 施 群 生 安 隱 樂  
ZH_T47_1998A_002:0816a09_7	還有知恩報恩底麼。	002	還 有 知 恩 報 恩 底 麼  
ZH_T47_1998A_002:0816a09_11	良久云。	002	良 久 云  
