segmentnr	original	folio	stemmed
ZH_T48_2002A_001:0121c02_0	如淨和尚語錄卷上	001	如 淨 和 尚 語 錄 卷 上 
ZH_T48_2002A_001:0121c04_0	住建康府清涼寺語錄住建康府清涼寺語錄	001	住 建 康 府 清 涼 寺 語 錄 住 建 康 府 清 涼 寺 語 錄 
ZH_T48_2002A_001:0121c05_0	侍者文素編	001	侍 者 文 素 編 
ZH_T48_2002A_001:0121c06_11	師於嘉定三年十月初五日。	001	師 於 嘉 定 三 年 十 月 初 五 日  
ZH_T48_2002A_001:0121c07_1	於華藏褒忠禪寺。	001	於 華 藏 褒 忠 禪 寺  
ZH_T48_2002A_001:0121c07_6	受請入寺。	001	受 請 入 寺  
ZH_T48_2002A_001:0121c08_10	指山門截斷程途驀直來。	001	指 山 門 截 斷 程 途 驀 直 來  
ZH_T48_2002A_001:0121c08_18	乾坤洞徹此門開。	001	乾 坤 洞 徹 此 門 開  
ZH_T48_2002A_001:0121c09_7	左邊拍兮右邊吹。	001	左 邊 拍 兮 右 邊 吹  
ZH_T48_2002A_001:0121c09_15	倒翻關棙起風雷。	001	倒 翻 關 棙 起 風 雷  
ZH_T48_2002A_001:0121c10_7	指佛殿開殿見佛。	001	指 佛 殿 開 殿 見 佛  
ZH_T48_2002A_001:0121c10_16	眼中毒刺咄拔却刺。	001	眼 中 毒 刺 咄 拔 却 刺  
ZH_T48_2002A_001:0121c11_6	禮拜燒香顛倒鈍置。	001	禮 拜 燒 香 顛 倒 鈍 置  
ZH_T48_2002A_001:0121c12_3	踞方丈。	001	踞 方 丈  
ZH_T48_2002A_001:0121c12_10	抉出達磨眼睛。	001	抉 出 達 磨 眼 睛  
ZH_T48_2002A_001:0121c12_17	作泥彈子打人。	001	作 泥 彈 子 打 人  
ZH_T48_2002A_001:0121c13_1	高聲云。	001	高 聲 云  
ZH_T48_2002A_001:0121c13_8	看海枯徹過底。	001	看 海 枯 徹 過 底  
ZH_T48_2002A_001:0121c13_14	波浪拍天高。	001	波 浪 拍 天 高  
ZH_T48_2002A_001:0121c14_5	師至法座前。	001	師 至 法 座 前  
ZH_T48_2002A_001:0121c14_8	拈帖。	001	拈 帖  
ZH_T48_2002A_001:0121c14_16	筆頭禿盡一毫通。	001	筆 頭 禿 盡 一 毫 通  
ZH_T48_2002A_001:0121c15_1	至治寥寥。	001	至 治 寥 寥  
ZH_T48_2002A_001:0121c15_8	靜極中舉帖云。	001	靜 極 中 舉 帖 云  
ZH_T48_2002A_001:0121c15_17	看點起風雲傳號令。	001	看 點 起 風 雲 傳 號 令  
ZH_T48_2002A_001:0121c16_5	雷霆潑墨振綱宗。	001	雷 霆 潑 墨 振 綱 宗  
ZH_T48_2002A_001:0121c16_14	莫有共相證據底麼。	001	莫 有 共 相 證 據 底 麼  
ZH_T48_2002A_001:0121c16_19	切忌側耳。	001	切 忌 側 耳  
ZH_T48_2002A_001:0121c17_3	拈請疏。	001	拈 請 疏  
ZH_T48_2002A_001:0121c17_12	瞿曇頂骨夫子眼睛。	001	瞿 曇 頂 骨 夫 子 眼 睛  
ZH_T48_2002A_001:0121c18_2	兩彩一賽玉振金聲。	001	兩 彩 一 賽 玉 振 金 聲  
ZH_T48_2002A_001:0121c19_3	指法座。	001	指 法 座  
ZH_T48_2002A_001:0121c19_8	大地平沈。	001	大 地 平 沈  
