segmentnr	original	folio	stemmed
ZH_T49_2035_020:0240c16_0	（此卷二十三人本紀原文遺失）佛祖統紀卷第二十	020	 此 卷 二 十 三 人 本 紀 原 文 遺 失  佛 祖 統 紀 卷 第 二 十 
ZH_T49_2035_020:0240c18_0	宋景定四明東湖沙門志磐撰	020	宋 景 定 四 明 東 湖 沙 門 志 磐 撰 
ZH_T49_2035_020:0240c19_0	諸師列傳第六之十	020	諸 師 列 傳 第 六 之 十 
ZH_T49_2035_020:0241a06_100_0	嘯巖虎法師法嗣廣智下第七世訥堂慧辯法師頑	020	嘯巖虎法師法嗣廣智下第七世訥堂慧辯法師頑
ZH_T49_2035_020:0241a06_100_1	空智覺法師松㵎善助法師寒谷妙暉法師東山夔	020	空智覺法師松㵎善助法師寒谷妙暉法師東山夔
ZH_T49_2035_020:0241a06_100_2	公首座東山皎公法師東山義問書記法明昶法師	020	公首座東山皎公法師東山義問書記法明昶法師
ZH_T49_2035_020:0241a06_100_3	法嗣法明行依法師寶壇智尚法師同菴憲法師法	020	法嗣法明行依法師寶壇智尚法師同菴憲法師法
ZH_T49_2035_020:0241a06_100_4	嗣圓菴行果法師東林覺先法師香山唯一法師浩	020	嗣圓菴行果法師東林覺先法師香山唯一法師浩
ZH_T49_2035_020:0241a06_100_5	翁惠川法師石翁法介法師柯山本悟法師虎巖行	020	翁惠川法師石翁法介法師柯山本悟法師虎巖行
ZH_T49_2035_020:0241a06_100_6	珪法師石林文藻法師安道清寧法師無聞若訥法	020	珪法師石林文藻法師安道清寧法師無聞若訥法
ZH_T49_2035_020:0241a06_100_7	師聖水善濟法師默菴普聞行人退若可昇法師石	020	師聖水善濟法師默菴普聞行人退若可昇法師石
ZH_T49_2035_020:0241a06_100_8	坡啟法師法嗣無住宗淨法師此卷二十三人本紀	020	坡啟法師法嗣無住宗淨法師此卷二十三人本紀
ZH_T49_2035_020:0241a06_100_9	原文遺失佛祖統紀卷第二十終	020	原文遺失佛祖統紀卷第二十終
