segmentnr	original	stemmed
ZH_T85_2903_001:1445a10_0	佛說無量大慈教經	佛 說 無 量 大 慈 教 經 
ZH_T85_2903_001:1445a12_0	有。爾時阿難白佛言。世尊。唯有闡提眾生。	有  爾 時 阿 難 白 佛 言  世 尊  唯 有 闡 提 眾 生  
ZH_T85_2903_001:1445a13_0	難化難育。爾時世尊答。如牛耕田由人所遣。	難 化 難 育  爾 時 世 尊 答  如 牛 耕 田 由 人 所 遣  
ZH_T85_2903_001:1445a14_8	獼猴作舞由人所教。	獼 猴 作 舞 由 人 所 教  
ZH_T85_2903_001:1445a14_17	造罪眾生由人所勸。	造 罪 眾 生 由 人 所 勸  
ZH_T85_2903_001:1445a15_6	爾時阿難白佛言。	爾 時 阿 難 白 佛 言  
ZH_T85_2903_001:1445a15_9	世尊。	世 尊  
ZH_T85_2903_001:1445a16_1	若有眾生藥生西方國者。	若 有 眾 生 藥 生 西 方 國 者  
ZH_T85_2903_001:1445a16_17	緣我身及向我口眼中不淨我亦不辭。	緣 我 身 及 向 我 口 眼 中 不 淨 我 亦 不 辭  
ZH_T85_2903_001:1445a17_3	佛語阿難。	佛 語 阿 難  
ZH_T85_2903_001:1445a17_17	此經大聖若有眾生勤誦此經者。	此 經 大 聖 若 有 眾 生 勤 誦 此 經 者  
ZH_T85_2903_001:1445a18_4	免得三難苦。	免 得 三 難 苦  
ZH_T85_2903_001:1445a18_9	一難禁囚。	一 難 禁 囚  
ZH_T85_2903_001:1445a18_14	二難病人。	二 難 病 人  
ZH_T85_2903_001:1445a18_19	三難地獄。	三 難 地 獄  
ZH_T85_2903_001:1445a19_5	爾時世尊告言。	爾 時 世 尊 告 言  
ZH_T85_2903_001:1445a19_8	阿難。	阿 難  
ZH_T85_2903_001:1445a20_1	我為閻浮眾生難化難育故。	我 為 閻 浮 眾 生 難 化 難 育 故  
ZH_T85_2903_001:1445a20_10	開此經藏出其殊別。	開 此 經 藏 出 其 殊 別  
ZH_T85_2903_001:1445a20_17	妙經為汝演說。	妙 經 為 汝 演 說  
ZH_T85_2903_001:1445a21_9	若人現此經者不生清淨。	若 人 現 此 經 者 不 生 清 淨  
ZH_T85_2903_001:1445a21_18	當知是人與我無業。	當 知 是 人 與 我 無 業  
ZH_T85_2903_001:1445a22_8	一切經典廣說妙言。	一 切 經 典 廣 說 妙 言  
ZH_T85_2903_001:1445a22_13	引度眾生。	引 度 眾 生  
ZH_T85_2903_001:1445a22_19	一稱我名者。	一 稱 我 名 者  
ZH_T85_2903_001:1445a23_4	悉聞悉見。	悉 聞 悉 見  
ZH_T85_2903_001:1445a23_9	隨聲往救。	隨 聲 往 救  
ZH_T85_2903_001:1445a24_4	今身劫剝師僧者死墮寒氷地獄。	今 身 劫 剝 師 僧 者 死 墮 寒 氷 地 獄  
ZH_T85_2903_001:1445a24_13	又生蠶中為他煮剝。	又 生 蠶 中 為 他 煮 剝  
ZH_T85_2903_001:1445a25_4	如此等以逕八萬之劫。	如 此 等 以 逕 八 萬 之 劫  
ZH_T85_2903_001:1445a25_10	餘受畜生身。	餘 受 畜 生 身  
ZH_T85_2903_001:1445a25_16	以逕五百劫。	以 逕 五 百 劫  
ZH_T85_2903_001:1445a26_5	蠢動眾生皆悉作遍。	蠢 動 眾 生 皆 悉 作 遍  
ZH_T85_2903_001:1445a26_10	後受人身。	後 受 人 身  
ZH_T85_2903_001:1445a26_15	𤸇殘盲跛。	𤸇 殘 盲 跛  
ZH_T85_2903_001:1445a27_4	五百劫中恒受啞報。	五 百 劫 中 恒 受 啞 報  
ZH_T85_2903_001:1445a27_11	爾時世尊答言。	爾 時 世 尊 答 言  
ZH_T85_2903_001:1445a27_14	阿難。	阿 難  
ZH_T85_2903_001:1445a28_8	行不淨行尼僧死墮鐵窟中地獄。	行 不 淨 行 尼 僧 死 墮 鐵 窟 中 地 獄  
ZH_T85_2903_001:1445a28_17	八萬刀輪一時來下。	八 萬 刀 輪 一 時 來 下  
ZH_T85_2903_001:1445a29_3	斬截其身。	斬 截 其 身  
ZH_T85_2903_001:1445a29_11	爾時阿難白佛言。	爾 時 阿 難 白 佛 言  
ZH_T85_2903_001:1445a29_16	如佛思量。	如 佛 思 量  
ZH_T85_2903_001:1445b01_3	此事超越三界。	此 事 超 越 三 界  
ZH_T85_2903_001:1445b01_11	爾時世尊語阿難。	爾 時 世 尊 語 阿 難  
ZH_T85_2903_001:1445b02_4	飲酒醉亂死墮飲銅地獄中。	飲 酒 醉 亂 死 墮 飲 銅 地 獄 中  
ZH_T85_2903_001:1445b02_12	爾時阿難白佛言。	爾 時 阿 難 白 佛 言  
ZH_T85_2903_001:1445b02_15	世尊。	世 尊  
ZH_T85_2903_001:1445b03_1	酒之無命。	酒 之 無 命  
ZH_T85_2903_001:1445b03_6	何故戒之。	何 故 戒 之  
ZH_T85_2903_001:1445b03_15	爾時世尊復語阿難。	爾 時 世 尊 復 語 阿 難  
ZH_T85_2903_001:1445b04_1	飲酒醉亂。	飲 酒 醉 亂  
ZH_T85_2903_001:1445b04_6	不識尊親。	不 識 尊 親  
ZH_T85_2903_001:1445b04_18	我見振旦國有人因酒婬母。	我 見 振 旦 國 有 人 因 酒 婬 母  
ZH_T85_2903_001:1445b05_3	破其五戒。	破 其 五 戒  
ZH_T85_2903_001:1445b05_8	是以禁之。	是 以 禁 之  
ZH_T85_2903_001:1445b06_10	爾時世尊語諸大菩薩等。	爾 時 世 尊 語 諸 大 菩 薩 等  
ZH_T85_2903_001:1445b06_17	我從成佛以來。	我 從 成 佛 以 來  
ZH_T85_2903_001:1445b07_5	於今五百餘劫。	於 今 五 百 餘 劫  
ZH_T85_2903_001:1445b07_10	經典披遍。	經 典 披 遍  
ZH_T85_2903_001:1445b07_15	讀誦周匝。	讀 誦 周 匝  
ZH_T85_2903_001:1445b07_20	未聞是言。	未 聞 是 言  
ZH_T85_2903_001:1445b08_4	未聞是說。	未 聞 是 說  
ZH_T85_2903_001:1445b08_13	若有眾生聞此經者。	若 有 眾 生 聞 此 經 者  
ZH_T85_2903_001:1445b08_18	宿種善因。	宿 種 善 因  
ZH_T85_2903_001:1445b09_3	宿種善果。	宿 種 善 果  
ZH_T85_2903_001:1445b09_8	思尋此經。	思 尋 此 經  
ZH_T85_2903_001:1445b09_13	不可思量。	不 可 思 量  
ZH_T85_2903_001:1445b09_18	不可稱盡。	不 可 稱 盡  
ZH_T85_2903_001:1445b10_8	爾時如來語諸菩薩。	爾 時 如 來 語 諸 菩 薩  
ZH_T85_2903_001:1445b10_13	我說此語。	我 說 此 語  
ZH_T85_2903_001:1445b10_18	重如太山。	重 如 太 山  
ZH_T85_2903_001:1445b11_7	眾生聞者輕如微塵。	眾 生 聞 者 輕 如 微 塵  
ZH_T85_2903_001:1445b11_16	此法難聞亦復難見。	此 法 難 聞 亦 復 難 見  
ZH_T85_2903_001:1445b12_2	佛語阿難。	佛 語 阿 難  
ZH_T85_2903_001:1445b12_11	若有眾生聞此經者。	若 有 眾 生 聞 此 經 者  
ZH_T85_2903_001:1445b12_16	心生歎喜。	心 生 歎 喜  
ZH_T85_2903_001:1445b13_6	如此之人盡心為說。	如 此 之 人 盡 心 為 說  
ZH_T85_2903_001:1445b13_15	爾時世尊復語阿難。	爾 時 世 尊 復 語 阿 難  
ZH_T85_2903_001:1445b14_5	我見眾生墮落三塗。	我 見 眾 生 墮 落 三 塗  
ZH_T85_2903_001:1445b14_10	若將刀割。	若 將 刀 割  
ZH_T85_2903_001:1445b14_18	我身體由斯可忍。	我 身 體 由 斯 可 忍  
ZH_T85_2903_001:1445b15_10	我不忍見於眾生受大苦惱。	我 不 忍 見 於 眾 生 受 大 苦 惱  
ZH_T85_2903_001:1445b15_15	酸悲忍苦。	酸 悲 忍 苦  
ZH_T85_2903_001:1445b16_3	身上演出光明。	身 上 演 出 光 明  
ZH_T85_2903_001:1445b16_8	遍照十方。	遍照十方  
ZH_T85_2903_001:1445b16_17	有我緣者得見我身。	有 我 緣 者 得 見 我 身  
ZH_T85_2903_001:1445b17_13	無有緣者不見我想爾時阿難白佛言。	無 有 緣 者 不 見 我 想 爾 時 阿 難 白 佛 言  
ZH_T85_2903_001:1445b17_16	世尊。	世 尊  
ZH_T85_2903_001:1445b18_3	如何二種心。	如 何 二 種 心  
ZH_T85_2903_001:1445b18_12	一種眾生則有見者。	一 種 眾 生 則 有 見 者  
ZH_T85_2903_001:1445b18_17	則無見者。	則 無 見 者  
ZH_T85_2903_001:1445b19_6	爾時如來復語阿難。	爾 時 如 來 復 語 阿 難  
ZH_T85_2903_001:1445b19_11	日月普照。	日 月 普 照  
ZH_T85_2903_001:1445b19_16	盲者不見。	盲 者 不 見  
ZH_T85_2903_001:1445b20_3	爾時阿難重白。	爾 時 阿 難 重 白  
ZH_T85_2903_001:1445b20_6	世尊。	世 尊  
ZH_T85_2903_001:1445b20_11	云何是盲。	云 何 是 盲  
ZH_T85_2903_001:1445b20_16	云何是明。	云 何 是 明  
ZH_T85_2903_001:1445b21_6	爾時世尊答言。	爾 時 世 尊 答 言  
ZH_T85_2903_001:1445b21_9	阿難。	阿 難  
ZH_T85_2903_001:1445b21_15	修福者是明。	修 福 者 是 明  
ZH_T85_2903_001:1445b22_2	不修福者是盲。	不 修 福 者 是 盲  
ZH_T85_2903_001:1445b22_9	阿難復白佛言。	阿 難 復 白 佛 言  
ZH_T85_2903_001:1445b22_12	世尊。	世 尊  
ZH_T85_2903_001:1445b22_20	修福者不見由何。	修 福 者 不 見 由 何  
ZH_T85_2903_001:1445b23_5	世尊告阿難。	世 尊 告 阿 難  
ZH_T85_2903_001:1445b23_12	修福不見我身。	修 福 不 見 我 身  
ZH_T85_2903_001:1445b24_2	障閉佛光污埿三寶。	障 閉 佛 光 污 埿 三 寶  
ZH_T85_2903_001:1445b24_9	是以不得見我。	是 以 不 得 見 我  
ZH_T85_2903_001:1445b24_14	佛語菩薩。	佛 語 菩 薩  
ZH_T85_2903_001:1445b25_4	聞是此經者心生歡喜。	聞 是 此 經 者 心生歡喜  
ZH_T85_2903_001:1445b25_13	如子見母遠行得歸。	如 子 見 母 遠 行 得 歸  
ZH_T85_2903_001:1445b26_3	如飢得食如渴得漿。	如 飢 得 食 如 渴 得 漿  
ZH_T85_2903_001:1445b26_12	如此之人盡心為說。	如 此 之 人 盡 心 為 說  
ZH_T85_2903_001:1445b26_17	佛語阿難。	佛 語 阿 難  
ZH_T85_2903_001:1445b27_6	食肉之者喻如群狗。	食 肉 之 者 喻 如 群 狗  
ZH_T85_2903_001:1445b27_14	爭骨各各貪多見。	爭 骨 各 各 貪 多 見  
ZH_T85_2903_001:1445b28_4	其猪羊常作殺想見。	其 猪 羊 常 作 殺 想 見  
ZH_T85_2903_001:1445b28_12	其臭肉如猫趣鼠。	其 臭 肉 如 猫 趣 鼠  
ZH_T85_2903_001:1445b28_17	惠心用意。	惠 心 用 意  
ZH_T85_2903_001:1445b29_5	今身信解佛法者。	今 身 信 解 佛 法 者  
ZH_T85_2903_001:1445b29_10	從人中來。	從 人 中 來  
ZH_T85_2903_001:1445b29_17	今身不信佛者。	今 身 不 信 佛 者  
ZH_T85_2903_001:1445c01_3	從畜生中來。	從 畜 生 中 來  
ZH_T85_2903_001:1445c01_10	造罪不懺悔者。	造 罪 不 懺 悔 者  
ZH_T85_2903_001:1445c02_2	喻如運金填國損其寶物。	喻 如 運 金 填 國 損 其 寶 物  
ZH_T85_2903_001:1445c02_14	造罪悔者如病得藥還復差。	造 罪 悔 者 如 病 得 藥 還 復 差  
ZH_T85_2903_001:1445c03_5	損汗衣水洗還得清淨。	損 汗 衣 水 洗 還 得 清 淨  
ZH_T85_2903_001:1445c03_12	佛語普廣菩薩。	佛 語 普 廣 菩 薩  
ZH_T85_2903_001:1445c04_2	用我語者一偈成佛。	用 我 語 者 一 偈 成 佛  
ZH_T85_2903_001:1445c04_13	不信我者喻如海中求針。	不 信 我 者 喻 如 海 中 求 針  
ZH_T85_2903_001:1445c05_3	狂費功力無得見曰。	狂 費 功 力 無 得 見 曰  
ZH_T85_2903_001:1445c05_9	佛語諸菩薩。	佛 語 諸 菩 薩  
ZH_T85_2903_001:1445c05_16	今身盜他物者。	今 身 盜 他 物 者  
ZH_T85_2903_001:1445c06_8	來生與他作癡牛令他苦打。	來 生 與 他 作 癡 牛 令 他 苦 打  
ZH_T85_2903_001:1445c06_16	非時苦使受牛身。	非 時 苦 使 受 牛 身  
ZH_T85_2903_001:1445c07_7	以遙五百劫與他作奴。	以 遙 五 百 劫 與 他 作 奴  
ZH_T85_2903_001:1445c07_13	任他駈使心。	任 他 駈 使 心  
ZH_T85_2903_001:1445c08_4	是逃避令被捉得苦刑。	是 逃 避 令 被 捉 得 苦 刑  
ZH_T85_2903_001:1445c08_11	印面非理苦持。	印 面 非 理 苦 持  
ZH_T85_2903_001:1445c08_16	佛語菩薩。	佛 語 菩 薩  
ZH_T85_2903_001:1445c09_3	伽藍中二種心。	伽 藍 中 二 種 心  
ZH_T85_2903_001:1445c09_8	一者善心。	一 者 善 心  
ZH_T85_2903_001:1445c09_13	二者惡心。	二 者 惡 心  
ZH_T85_2903_001:1445c09_19	云何為惡人。	云 何 為 惡 人  
ZH_T85_2903_001:1445c10_7	若有眾生入寺之時。	若 有 眾 生 入 寺 之 時  
ZH_T85_2903_001:1445c10_14	唯從眾僧乞索。	唯 從 眾 僧 乞 索  
ZH_T85_2903_001:1445c11_9	或求僧長短或噉德食都無慚愧。	或 求 僧 長 短 或 噉 德 食 都 無 慚 愧  
ZH_T85_2903_001:1445c11_18	餅果菜茹懷狹歸家。	餅 果 菜 茹 懷 狹 歸 家  
ZH_T85_2903_001:1445c12_9	如此之死墮鐵叉地獄。	如 此 之 死 墮 鐵 叉 地 獄  
ZH_T85_2903_001:1445c12_16	云何名為善人。	云 何 名 為 善 人  
ZH_T85_2903_001:1445c13_6	若有眾生入寺之時。	若 有 眾 生 入 寺 之 時  
ZH_T85_2903_001:1445c13_11	見僧恭敬。	見 僧 恭 敬  
ZH_T85_2903_001:1445c13_16	見佛禮拜。	見 佛 禮 拜  
ZH_T85_2903_001:1445c14_1	受戒懺悔。	受 戒 懺 悔  
ZH_T85_2903_001:1445c14_6	捨於財物。	捨 於 財 物  
ZH_T85_2903_001:1445c14_11	經營三寶。	經 營 三 寶  
ZH_T85_2903_001:1445c14_16	不惜身命。	不惜身命  
ZH_T85_2903_001:1445c14_21	護持大法。	護 持 大 法  
ZH_T85_2903_001:1445c15_8	如此之人舉足一步。	如 此 之 人 舉 足 一 步  
ZH_T85_2903_001:1445c15_15	天堂自來受果。	天 堂 自 來 受 果  
ZH_T85_2903_001:1445c16_1	如樹提伽。	如 樹 提 伽  
ZH_T85_2903_001:1445c16_12	提伽則名為最上善人也。	提 伽 則 名 為 最 上 善 人 也  
ZH_T85_2903_001:1445c16_17	佛告大眾。	佛 告 大 眾  
ZH_T85_2903_001:1445c17_6	我向所論種種因果。	我 向 所 論 種 種 因 果  
ZH_T85_2903_001:1445c17_13	此經一名殊別。	此 經 一 名 殊 別  
ZH_T85_2903_001:1445c17_18	二名殊勝。	二 名 殊 勝  
ZH_T85_2903_001:1445c18_3	三名菩薩。	三 名 菩 薩  
ZH_T85_2903_001:1445c18_12	若有眾生聞此經者。	若 有 眾 生 聞 此 經 者  
ZH_T85_2903_001:1445c19_2	一發善心得生淨土。	一 發 善 心 得 生 淨 土  
ZH_T85_2903_001:1445c19_7	佛告菩薩。	佛 告 菩 薩  
ZH_T85_2903_001:1445c19_16	聞我說者心生歎喜。	聞 我 說 者 心 生 歎 喜  
ZH_T85_2903_001:1445c20_2	如旱得水。	如 旱 得 水  
ZH_T85_2903_001:1445c20_7	苗稼蘇活。	苗 稼 蘇 活  
ZH_T85_2903_001:1445c20_17	不受我語者如石浸水。	不 受 我 語 者 如 石 浸 水  
ZH_T85_2903_001:1445c21_2	無有潤時。	無 有 潤 時  
ZH_T85_2903_001:1445c21_10	爾時阿難白佛言。	爾 時 阿 難 白 佛 言  
ZH_T85_2903_001:1445c21_13	世尊。	世 尊  
ZH_T85_2903_001:1445c21_20	汝等見振旦國。	汝 等 見 振 旦 國  
ZH_T85_2903_001:1445c22_11	有人從七歲修福至於百年。	有 人 從 七 歲 修 福 至 於 百 年  
ZH_T85_2903_001:1445c23_2	臨命終時破其五戒。	臨命終時 破 其 五 戒  
ZH_T85_2903_001:1445c23_9	此人得福以不。	此 人 得 福 以 不  
ZH_T85_2903_001:1445c24_8	爾時世尊復語阿難。	爾 時 世 尊 復 語 阿 難  
ZH_T85_2903_001:1445c24_13	喻如轂車。	喻 如 轂 車  
ZH_T85_2903_001:1445c24_19	上萬里之坂。	上 萬 里 之 坂  
