segmentnr	original	folio	analyzed
ZH_X05_0231_006:0518a01	大方廣佛華嚴經疏科文卷第六	006	大 方 廣 佛 華 嚴 經 疏 科 文 卷 第 六 
ZH_X05_0231_006:0518a02	清凉山大華嚴寺沙門澄觀述	006	清 凉 山 大 華 嚴 寺 沙 門 澄 觀 述 
ZH_X05_0231_006:0518a04	○七說分(三)	006	 七 說 分  三  
ZH_X05_0231_006:0518a05	初來意(自下)	006	初 來 意  自 下  
ZH_X05_0231_006:0518a06	二釋名(四)	006	二 釋 名  四  
ZH_X05_0231_006:0518a07	初正釋本文(二釋)	006	初 正 釋 本 文  二 釋  
ZH_X05_0231_006:0518a08	二通違論妨(以上)	006	二 通 違 論 妨  以 上  
ZH_X05_0231_006:0518a09	三通展轉妨(又初)	006	三 通 展 轉 妨  又 初  
ZH_X05_0231_006:0518a10	四總指會釋(又論)	006	四 總 指 會 釋  又 論  
ZH_X05_0231_006:0518a11	三本文(十)	006	三 本 文  十  
ZH_X05_0231_006:0518a12	初歡喜地(七)	006	初歡喜地  七  
ZH_X05_0231_006:0518a13	初來意(三釋)	006	初 來 意  三 釋  
ZH_X05_0231_006:0518a14	二釋名(二釋)	006	二 釋 名  二 釋  
ZH_X05_0231_006:0518a15	三斷障(三)	006	三 斷 障  三  
ZH_X05_0231_006:0518a16	初總標(三所)	006	初 總 標  三 所  
ZH_X05_0231_006:0518a17	二斷障(謂二)	006	二 斷 障  謂 二  
ZH_X05_0231_006:0518a18	三斷愚(三)	006	三 斷 愚  三  
ZH_X05_0231_006:0518a19	初以義生起(上來)	006	初 以 義 生 起  上 來  
ZH_X05_0231_006:0518a20	二引論正釋(由斯)	006	二 引 論 正 釋  由 斯  
ZH_X05_0231_006:0518a21	三結示斷義(斷義)	006	三 結 示 斷 義  斷 義  
ZH_X05_0231_006:0518a22	四證理(四所)	006	四 證 理  四 所  
ZH_X05_0231_006:0518a23	五成行(五所)	006	五 成 行  五 所  
ZH_X05_0231_006:0518a24	六得果(二)	006	六 得 果  二  
ZH_X05_0231_006:0518a25	初行布(六所)	006	初 行 布  六 所  
ZH_X05_0231_006:0518a26	二圓融(然上)	006	二 圓 融  然 上  
ZH_X05_0231_006:0518a27	七釋文(四)	006	七 釋 文  四  
ZH_X05_0231_006:0518a28	初依經科(三)	006	初 依 經 科  三  
ZH_X05_0231_006:0518a29	初正科(第七)	006	初 正 科  第 七  
ZH_X05_0231_006:0518a30	二引證(故依)	006	二 引 證  故 依  
ZH_X05_0231_006:0518a31	三會今論文(而論)	006	三 會 今 論 文  而 論  
ZH_X05_0231_006:0518a32	二依論科(二)	006	二 依 論 科  二  
ZH_X05_0231_006:0518a33	初正科(今且)	006	初 正 科  今 且  
ZH_X05_0231_006:0518a34	二疏釋(初云)	006	二 疏 釋  初 云  
ZH_X05_0231_006:0518a35	三對前相攝(然十)	006	三 對 前 相 攝  然 十  
ZH_X05_0231_006:0518a36	四釋經文(二)	006	四 釋 經 文  二  
ZH_X05_0231_006:0518a37	初長行(四)	006	初 長 行  四  
ZH_X05_0231_006:0518a38	初四十句明住(五)	006	初 四 十 句 明 住  五  
ZH_X05_0231_006:0518a39	初曲科(佛子)	006	初 曲 科  佛 子  
ZH_X05_0231_006:0519a01	二疏釋(初謂)	006	二 疏 釋  初 謂  
ZH_X05_0231_006:0519a02	三引證(瑜伽)	006	三 引 證  瑜 伽  
ZH_X05_0231_006:0519a03	四會釋(又此)	006	四 會 釋  又 此  
ZH_X05_0231_006:0519a04	五釋文(二)	006	五 釋 文  二  
ZH_X05_0231_006:0519a05	初別顯住法(四)	006	初 別 顯 住 法  四  
ZH_X05_0231_006:0519a06	初十依何身(二)	006	初 十 依 何 身  二  
ZH_X05_0231_006:0519a07	初總句(今初)	006	初 總 句  今 初  
ZH_X05_0231_006:0519a08	二別句(三)	006	二 別 句  三  
ZH_X05_0231_006:0519a09	初別釋(二)	006	初 別 釋  二  
ZH_X05_0231_006:0519a10	初科判(別有)	006	初 科 判  別 有  
ZH_X05_0231_006:0519a11	二釋經(已知)	006	二 釋 經  已 知  
ZH_X05_0231_006:0519a12	二隨難料揀(然小)	006	二 隨 難 料 揀  然 小  
ZH_X05_0231_006:0519a13	三六相圓融(已知)	006	三 六 相 圓 融  已 知  
ZH_X05_0231_006:0519a14	二十為何義(二)	006	二 十 為 何 義  二  
ZH_X05_0231_006:0519a15	初別顯求相(二)	006	初 別 顯 求 相  二  
ZH_X05_0231_006:0519a16	初釋總(為求)	006	初 釋 總  為 求  
ZH_X05_0231_006:0519a17	二釋別(此智)	006	二 釋 別  此 智  
ZH_X05_0231_006:0519a18	二總結發菩提心(四)	006	二 總 結 發菩提心  四  
ZH_X05_0231_006:0519a19	初疏略釋(佛子)	006	初 疏 略 釋  佛 子  
ZH_X05_0231_006:0519a20	二辨論釋(而論)	006	二 辨 論 釋  而 論  
ZH_X05_0231_006:0519a21	三論指文(能指)	006	三 論 指 文  能 指  
ZH_X05_0231_006:0519a22	四釋妨難(又但)	006	四 釋 妨 難  又 但  
ZH_X05_0231_006:0519a23	三十以何因(二)	006	三 十 以 何 因  二  
ZH_X05_0231_006:0519a24	初總科(以大)	006	初 總 科  以 大  
ZH_X05_0231_006:0519a25	二釋論(意云)	006	二 釋 論  意 云  
ZH_X05_0231_006:0519a26	三釋文(十句)	006	三 釋 文  十 句  
ZH_X05_0231_006:0519a27	四十有何相(二)	006	四 十 有 何 相  二  
ZH_X05_0231_006:0519a28	初釋總句(佛子)	006	初 釋 總 句  佛 子  
ZH_X05_0231_006:0519a29	二釋別句(三)	006	二 釋 別 句  三  
ZH_X05_0231_006:0519a30	初依總開別(二入)	006	初 依 總 開 別  二 入  
ZH_X05_0231_006:0519a31	二隨別解釋(言一)	006	二 隨 別 解 釋  言 一  
ZH_X05_0231_006:0519a32	三結不相似(論云)	006	三 結 不 相 似  論 云  
ZH_X05_0231_006:0519a33	二結住入位(菩薩)	006	二 結 住 入 位  菩 薩  
ZH_X05_0231_006:0519a34	二三十句釋名(二)	006	二 三 十 句 釋 名  二  
ZH_X05_0231_006:0519a35	初總標(佛子)	006	初 總 標  佛 子  
ZH_X05_0231_006:0519a36	二別釋(二)	006	二 別 釋  二  
ZH_X05_0231_006:0519a37	初正明喜相(二)	006	初 正 明 喜 相  二  
ZH_X05_0231_006:0519a38	初總(成就)	006	初 總  成 就  
ZH_X05_0231_006:0519a39	二別(別中)	006	二 別  別 中  
ZH_X05_0231_006:0519a40	二出喜所因(二)	006	二 出 喜 所 因  二  
ZH_X05_0231_006:0519a41	初念當得故喜(三)	006	初 念 當 得 故 喜  三  
ZH_X05_0231_006:0519a42	初總別分別(佛子)	006	初 總 別 分 別  佛 子  
ZH_X05_0231_006:0519a43	二義類分別(二)	006	二 義 類 分 別  二  
ZH_X05_0231_006:0519a44	初果(若別)	006	初 果  若 別  
ZH_X05_0231_006:0519a45	二因(二)	006	二 因  二  
ZH_X05_0231_006:0519a46	初總(後八)	006	初 總  後 八  
ZH_X05_0231_006:0519a47	二別(別中)	006	二 別  別 中  
ZH_X05_0231_006:0519a48	三三寶分別(又上)	006	三 三 寶 分 別  又 上  
ZH_X05_0231_006:0519a49	二念現得故喜(二)	006	二 念 現 得 故 喜  二  
ZH_X05_0231_006:0519a50	初正明所念(二)	006	初 正 明 所 念  二  
ZH_X05_0231_006:0519a51	初釋總句(復作)	006	初 釋 總 句  復 作  
ZH_X05_0231_006:0519a52	二釋別句(三)	006	二 釋 別 句  三  
ZH_X05_0231_006:0519a53	初總敘文意(別有)	006	初 總 敘 文 意  別 有  
ZH_X05_0231_006:0519a54	二隨文別釋(二)	006	二 隨 文 別 釋  二  
ZH_X05_0231_006:0519a55	初通明前八(九中)	006	初 通 明 前 八  九 中  
ZH_X05_0231_006:0519a56	二別明第九(三)	006	二 別 明 第 九  三  
ZH_X05_0231_006:0519a57	初正釋(九捨)	006	初 正 釋  九 捨  
ZH_X05_0231_006:0519a58	二會通(即前)	006	二 會 通  即 前  
ZH_X05_0231_006:0519a59	三釋文(言怖)	006	三 釋 文  言 怖  
ZH_X05_0231_006:0519a60	三結指決定(然此)	006	三 結 指 決 定  然 此  
ZH_X05_0231_006:0519a61	二隨難徵釋(五)	006	二 隨 難 徵 釋  五  
ZH_X05_0231_006:0519a62	初總問徵起(何以)	006	初 總 問 徵 起  何 以  
ZH_X05_0231_006:0519a63	二列名總答(二答)	006	二 列 名 總 答  二 答  
ZH_X05_0231_006:0519a64	三轉徵所以(何以)	006	三 轉 徵 所 以  何 以  
ZH_X05_0231_006:0520a01	四舉因顯相(二)	006	四 舉 因 顯 相  二  
ZH_X05_0231_006:0520a02	初釋經文意(四舉)	006	初 釋 經 文 意  四 舉  
ZH_X05_0231_006:0520a03	二開義別釋(二)	006	二 開 義 別 釋  二  
ZH_X05_0231_006:0520a04	初彰五畏之果(三)	006	初 彰 五 畏 之 果  三  
ZH_X05_0231_006:0520a05	初揀死不活(五怖)	006	初 揀 死 不 活  五 怖  
ZH_X05_0231_006:0520a06	二揀死惡道(死約)	006	二 揀 死 惡 道  死 約  
ZH_X05_0231_006:0520a07	三通妨辨攝(但說)	006	三 通 妨 辨 攝  但 說  
ZH_X05_0231_006:0520a08	二彰五畏之因(三)	006	二 彰 五 畏 之 因  三  
ZH_X05_0231_006:0520a09	初引論總釋(此怖)	006	初 引 論 總 釋  此 怖  
ZH_X05_0231_006:0520a10	二分別解釋(二)	006	二 分 別 解 釋  二  
ZH_X05_0231_006:0520a11	初通(然此)	006	初 通  然 此  
ZH_X05_0231_006:0520a12	二別(三)	006	二 別  三  
ZH_X05_0231_006:0520a13	初雙標(若取)	006	初 雙 標  若 取  
ZH_X05_0231_006:0520a14	二釋初因(四)	006	二 釋 初 因  四  
ZH_X05_0231_006:0520a15	初牒論文釋(邪智)	006	初 牒 論 文 釋  邪 智  
ZH_X05_0231_006:0520a16	二別配三因(愛著)	006	二 別 配 三 因  愛 著  
ZH_X05_0231_006:0520a17	三彰其所離(但無)	006	三 彰 其 所 離  但 無  
ZH_X05_0231_006:0520a18	四會釋經文(然不)	006	四 會 釋 經 文  然 不  
ZH_X05_0231_006:0520a19	三釋後因(二)	006	三 釋 後 因  二  
ZH_X05_0231_006:0520a20	初明因(後二)	006	初 明 因  後 二  
ZH_X05_0231_006:0520a21	二辨離(今具)	006	二 辨 離  今 具  
ZH_X05_0231_006:0520a22	三總以結示(初三)	006	三 總 以 結 示  初 三  
ZH_X05_0231_006:0520a23	五結酬初徵(三)	006	五 結 酬 初 徵  三  
ZH_X05_0231_006:0520a24	初釋經(菩薩)	006	初 釋 經  菩 薩  
ZH_X05_0231_006:0520a25	二敘論(而論)	006	二 敘 論  而 論  
