segmentnr	original	analyzed	folio	translated
['ZH_T05_0220a_045:0251a22_0']	4大般若波羅蜜多經卷第四十五	4大般若波羅蜜多經卷第四十五	045	4Here is the corrected and aligned text:🔽Mahāprajñāpāramitā-sūtra, Scroll 45
['ZH_T05_0220a_045:0251a24_0']	三藏法師玄奘奉　詔譯	三藏法師玄奘奉　詔譯	045	Translated by Tripiṭaka Master Xuanzang on Imperial Order
['ZH_T05_0220a_045:0251a25_0']	初分譬喻品第十一之四	初分譬喻品第十一之四	045	Chapter 11, Part 4: Parable, in the First Part
['ZH_T05_0220a_045:0251a26_6']	「復次，善現！	「復次，善現！	045	Furthermore, Subhūti!
['ZH_T05_0220a_045:0251a28_6', 'ZH_T05_0220a_045:0251a28_9']	菩薩摩訶薩惡友者，若不為說魔事魔過，謂有惡魔作父母形像，來至菩薩摩訶薩所，告言：🔽『子！	菩薩摩訶薩惡友者，若不為說魔事魔過，謂有惡魔作父母形像，來至菩薩摩訶薩所，告言： 『子！	045	The evil friends of bodhisattva-mahāsattvas are those who do not speak of the affairs and faults of Māra, saying: 'There are evil māras who take on the appearance of parents and come to the place of bodhisattva-mahāsattvas, saying:🔽Son!
['ZH_T05_0220a_045:0251a28_11']	子！	子！	045	Son!
['ZH_T05_0220a_045:0251b01_14']	汝當精勤求證預流、一來、不還、阿羅漢果，足得永離生死大苦，速證涅槃究竟安樂，何用遠趣無上菩提？	汝當精勤求證預流、一來、不還、阿羅漢果，足得永離生死大苦，速證涅槃究竟安樂，何用遠趣無上菩提？	045	You should diligently seek to realize the fruits of stream-entry, once-returning, non-returning, and arhatship, and be able to permanently part from the great suffering of birth and death, quickly realizing nirvāṇa and ultimate peace. What use is it to go far to supreme enlightenment?
['ZH_T05_0220a_045:0251b03_16', 'ZH_T05_0220a_045:0251b04_6']	求菩提者要經無量無數大劫，輪迴生死教化有情，捨身捨命斷支斷節，徒自勤苦誰荷汝恩？🔽所求菩提或得不得。	求菩提者要經無量無數大劫，輪迴生死教化有情，捨身捨命斷支斷節，徒自勤苦誰荷汝恩？ 所求菩提或得不得。	045	Those who seek enlightenment must go through immeasurable and countless great eons, revolving in birth and death to teach and transform sentient beings, abandoning the body, abandoning life, cutting off limbs and joints, in vain exhausting themselves in hardship. Who repays your kindness?
['ZH_T05_0220a_045:0251b04_10']	』善現！	』善現！	045	The enlightenment that is sought may or may not be attained. Subhūti!
['ZH_T05_0220a_045:0251b05_13']	若不為說如是等事令覺悟者，是為菩薩摩訶薩惡友。	若不為說如是等事令覺悟者，是為菩薩摩訶薩惡友。	045	If they do not explain these matters to make them understand, they are the bodhisattva-mahāsattvas' evil friends.
['ZH_T05_0220a_045:0251b08_4']	若菩薩摩訶薩修行般若波羅蜜多時，為此惡友之所攝受，聞說如是甚深般若波羅蜜多，其心有驚有恐有怖。	若菩薩摩訶薩修行般若波羅蜜多時，為此惡友之所攝受，聞說如是甚深般若波羅蜜多，其心有驚有恐有怖。	045	If bodhisattva-mahāsattvas, when practicing prajñā-pāramitā, are taken in by these evil friends, when they hear this profound prajñā-pāramitā being taught, their minds will be startled, frightened, and terrified.
['ZH_T05_0220a_045:0251b09_6']	「復次，善現！	「復次，善現！	045	Furthermore, Subhūti!
['ZH_T05_0220a_045:0251b12_17']	菩薩摩訶薩惡友者，若不為說魔事魔過，謂有惡魔作苾芻等形像，來至菩薩摩訶薩所，以有所得為方便，說色常無常相可得，說受、想、行、識常無常相可得；	菩薩摩訶薩惡友者，若不為說魔事魔過，謂有惡魔作苾芻等形像，來至菩薩摩訶薩所，以有所得為方便，說色常無常相可得，說受、想、行、識常無常相可得；	045	The bodhisattva-mahāsattvas' evil friends are those who do not explain the matters and faults of Māra. That is to say, there are evil Māras who take on the appearance of bhikṣus and come to the bodhisattva-mahāsattvas, using some attainment as a skillful means, saying that the characteristics of the permanence and impermanence of form can be attained, and saying that the characteristics of the permanence and impermanence of feeling, perception, mental formations, and consciousness can be attained;
['ZH_T05_0220a_045:0251b14_3']	以有所得為方便，說色樂苦相可得，說受、想、行、識樂苦相可得；	以有所得為方便，說色樂苦相可得，說受、想、行、識樂苦相可得；	045	using some attainment as a skillful means, saying that the characteristics of the happiness and suffering of form can be attained, and saying that the characteristics of the happiness and suffering of feeling, perception, mental formations, and consciousness can be attained;
['ZH_T05_0220a_045:0251b15_16']	以有所得為方便，說色我無我相可得，說受、想、行、識我無我相可得；	以有所得為方便，說色我無我相可得，說受、想、行、識我無我相可得；	045	Using something to be attained as a skillful means, they say the characteristics of self and non-self can be attained in form, and they say the characteristics of self and non-self can be attained in feeling, perception, mental formations, and consciousness;
