segmentnr	original	analyzed	folio	translated
['ZH_T07_0220o_001:1065b16_0']	16 會大般若經第十六會般若波羅蜜	16 會大般若經第十六會般若波羅蜜	001	The sixteenth assembly of the Mahāprajñāpāramitā Sūtra, the chapter on prajñā-pāramitā
['ZH_T07_0220o_001:1065b17_0']	多分序序	多分序序	001	Preface to the majority of the chapters
['ZH_T07_0220o_001:1065b19_0']	西明寺沙門玄則撰	西明寺沙門玄則撰	001	Compiled by Śramaṇa Xuánzōng of Ximing Temple
['ZH_T07_0220o_001:1065b21_9']	尋夫理殊湊以司方，坦一歸而揆務，何嘗不鎔想真際、弭執幻塵。	尋夫理殊湊以司方，坦一歸而揆務，何嘗不鎔想真際、弭執幻塵。	001	Investigating the principles, they converge to guide the world. The level path returns to one, and the purpose is measured. How could it not be the case that the true limit is contemplated and attachment to illusory dust is eliminated?
['ZH_T07_0220o_001:1065b22_15']	雖檀戒之崇嚴、忍進之調銳，卒怙寵於實慧、假道於真詮。	雖檀戒之崇嚴、忍進之調銳，卒怙寵於實慧、假道於真詮。	001	Although the cultivation of giving and precepts is lofty and strict, and the refinement of patience and vigor is harmonious and sharp, they ultimately rely on the real wisdom and take the true scriptures as the path.
['ZH_T07_0220o_001:1065b24_17']	將開象觸之迷，復有鷺池之會，所以光導五之迹、昇第一之乘，甄陶二邊，洞希微而卷睇；	將開象觸之迷，復有鷺池之會，所以光導五之迹、昇第一之乘，甄陶二邊，洞希微而卷睇；	001	In order to open up the confusion of the elephant touch, there is again the assembly at Rājagṛha. Therefore, illuminating the traces of the five, ascending the first vehicle, discerning the two extremes, penetrating the subtle and rolling up the gaze;
['ZH_T07_0220o_001:1065b25_10']	擬儀四句，仰涔寂以韜音。	擬儀四句，仰涔寂以韜音。	001	Imitating the four phrases, looking up at the trace of tranquility and concealing the sound.
['ZH_T07_0220o_001:1065b26_3']	剪諸見之萌，則翳蘂星落；	剪諸見之萌，則翳蘂星落；	001	Cutting off the sprouts of various views, then the flower petals of obscuration fall;
['ZH_T07_0220o_001:1065b26_15']	褰積疑之網，則障縠雲披。	褰積疑之網，則障縠雲披。	001	Lifting the net of accumulated doubts, then the clouds of obstruction are removed.
['ZH_T07_0220o_001:1065b28_3']	了性空而常修、悟生假而恒利，四魔由之亂轍、六度因而彙征。	了性空而常修、悟生假而恒利，四魔由之亂轍、六度因而彙征。	001	Understanding the emptiness of nature and always cultivating, realizing the falsity of birth and always benefiting, the four demons are thereby confused, and the six pāramitās are thereby gathered.
