segmentnr	original	analyzed	folio	translated
['ZH_T10_0309_003:0981a19_0']	十住斷結經卷第三	十住斷結經卷第三	003	Sutra on the Ten Stages of Eliminating Hindrances, Scroll 3
['ZH_T10_0309_003:0981a21_0']	姚秦涼州沙門竺佛念譯	姚秦涼州沙門竺佛念譯	003	Translated by the Yao Qin Dynasty monk Zhu Fonian from Liangzhou
['ZH_T10_0309_003:0981a22_0']	8 童真品童真品第八	8 童真品童真品第八	003	Chapter 8: The Youthful Practice
['ZH_T10_0309_003:0981a23_9']	爾時最勝菩薩白佛言：	爾時最勝菩薩白佛言：	003	At that time, the Bodhisattva Supreme Excellence addressed the Buddha, saying:
['ZH_T10_0309_003:0981a23_13']	「世尊！	「世尊！	003	World-Honored One!
['ZH_T10_0309_003:0981a24_8']	云何第八菩薩於八住地而淨其行？	云何第八菩薩於八住地而淨其行？	003	How does the eighth bodhisattva purify his practice in the eighth stage of abiding?
['ZH_T10_0309_003:0981a24_14']	」佛告最勝：	」佛告最勝：	003	The Buddha told Supreme Excellence:
['ZH_T10_0309_003:0981b01_12']	「第八菩薩常當具足以神通慧曉眾生根，觀其意趣而為示現，復以神通遊諸佛國，觀其奇特殊妙之行，還自莊嚴其佛國土，自往奉覲禮敬諸佛，觀佛身相空無所有，學習知忍分別諸根，常入如幻三昧定意知其無本，所作功德隨前形器，各隨其所而成就之。	「第八菩薩常當具足以神通慧曉眾生根，觀其意趣而為示現，復以神通遊諸佛國，觀其奇特殊妙之行，還自莊嚴其佛國土，自往奉覲禮敬諸佛，觀佛身相空無所有，學習知忍分別諸根，常入如幻三昧定意知其無本，所作功德隨前形器，各隨其所而成就之。	003	The eighth bodhisattva should always be fully endowed with the wisdom of spiritual powers to understand the faculties of sentient beings, observe their intentions and manifest for them, and again use spiritual powers to roam the buddha-lands, observe their wondrous and special practices, and adorn his own buddha-land, personally go to pay homage to the buddhas, observe the empty and non-existent physical characteristics of the buddhas, learn to know forbearance and discern the faculties, always enter the samādhi of illusion to know its rootlessness, and according to the vessels in front, accomplish the merits.
['ZH_T10_0309_003:0981b03_14']	以過空行無想無願，不有形像，度於三界永無縛著，慧無所念不有生滅，以無所生故曰為慧。	以過空行無想無願，不有形像，度於三界永無縛著，慧無所念不有生滅，以無所生故曰為慧。	003	Transcending the practices of emptiness, signlessness, and wishlessness, without form or appearance, crossing beyond the three realms forever unfettered, wisdom has no thoughts, no arising or ceasing, and because of non-arising it is called wisdom.
['ZH_T10_0309_003:0981b04_9']	作不見作亦無造者，是謂名慧。	作不見作亦無造者，是謂名慧。	003	It does not see action and has no doer, this is called wisdom.
['ZH_T10_0309_003:0981b05_16']	無疆界中間處所，都無住止亦無窠窟，慧為清淨識無所猗。	無疆界中間處所，都無住止亦無窠窟，慧為清淨識無所猗。	003	Without boundaries, in the middle and in places, completely without dwelling or nest, wisdom is pure and cognition does not rely on anything.
['ZH_T10_0309_003:0981b06_7']	所以然者，由無想念。	所以然者，由無想念。	003	The reason for this is because of no thought.
['ZH_T10_0309_003:0981b08_5']	慧無有限，用力方便不止貪欲，亦不住色不住無色，雖與同垢不為染著，是謂，最勝！	慧無有限，用力方便不止貪欲，亦不住色不住無色，雖與同垢不為染著，是謂，最勝！	003	Wisdom is limitless, using skillful means without ceasing craving, not dwelling in form or formlessness, although together with defilements it is not stained or attached, this is called, Supreme!
['ZH_T10_0309_003:0981b08_10']	名曰大智。	名曰大智。	003	It is called great wisdom.
['ZH_T10_0309_003:0981b09_11']	離婬怒癡不處愚冥，永為解脫而無罣礙不著不斷。	離婬怒癡不處愚冥，永為解脫而無罣礙不著不斷。	003	Free from desire, anger, and delusion, not dwelling in ignorance, forever liberated without obstruction, not attached or cut off.
['ZH_T10_0309_003:0981b12_4']	去十二緣無明根本，不見我人無我不我，不住貪欲了之為一，無求色想復不念在一切色中，是謂第八菩薩慧業。	去十二緣無明根本，不見我人無我不我，不住貪欲了之為一，無求色想復不念在一切色中，是謂第八菩薩慧業。	003	Twelve links away from the root of ignorance, not seeing self, person, non-self, or not-self, not dwelling in desire, understanding it as one, not seeking form or thought, and not thinking of being in all forms - this is the eighth bodhisattva wisdom activity.
['ZH_T10_0309_003:0981b14_6']	終不隨緣無煩惱患，不與疑合，亦不有為非不有為，亦不求福非無功德，以越諸惡非法之事。	終不隨緣無煩惱患，不與疑合，亦不有為非不有為，亦不求福非無功德，以越諸惡非法之事。	003	 Never following conditions, without the affliction of afflictions, not uniting with doubt, not being conditioned, not unconditioned, not seeking blessings, not without merit, transcending all evil and non-dharma matters.
['ZH_T10_0309_003:0981b16_4']	所以然者，法性常存，不見愚者而行非法，不見擾惱其身心識，意不亂想流馳異念。	所以然者，法性常存，不見愚者而行非法，不見擾惱其身心識，意不亂想流馳異念。	003	 The reason for this is that the nature of dharmas always exists. Not seeing fools who practice non-dharma, not seeing the disturbance of their body and mind consciousness, the mind not having confused thoughts, flowing and running to different thoughts.
['ZH_T10_0309_003:0981b16_10']	是謂，最勝！	是謂，最勝！	003	 This is called, Supreme One!
['ZH_T10_0309_003:0981b16_15']	名曰為慧。	名曰為慧。	003	 It is called wisdom.
['ZH_T10_0309_003:0981b22_3']	分別空觀了知無生，斷滅計常不使興起，抑制六關終不邪闚，誓在廣遠不計限局，修童真禁而不越序，若見退墮在下位者，輒便誘勸務使上及，奉順法者不斷諸佛所修律本，身心怡然不能窮已，興隆道樂不除法身，不斷聖眾不有縛脫。	分別空觀了知無生，斷滅計常不使興起，抑制六關終不邪闚，誓在廣遠不計限局，修童真禁而不越序，若見退墮在下位者，輒便誘勸務使上及，奉順法者不斷諸佛所修律本，身心怡然不能窮已，興隆道樂不除法身，不斷聖眾不有縛脫。	003	Distinguishing and contemplating emptiness, one understands non-arising. One cuts off the arising of views of annihilation and permanence. One restrains the six sense doors and never looks askance. One vows to be far-reaching and not limited. One cultivates the pure precepts and does not transgress the sequence. If one sees those who have fallen into lower stages, one immediately encourages them to ascend. One reveres and follows the Dharma and does not cut off the fundamental precepts cultivated by the buddhas. Body and mind are joyful and cannot be exhausted. One flourishes the joy of the Way and does not eliminate the Dharma body. One does not cut off the holy assembly and does not have bondage and liberation.
['ZH_T10_0309_003:0981b23_15', 'ZH_T10_0309_003:0981b25_8']	復當修習道俗之法，以法性故不斷諸學，使慎禁戒因本清淨而不可盡。🔽諸在生死斯皆有盡，流轉五道周旋往返亦不寧息，住無常處斯亦盡滅。	復當修習道俗之法，以法性故不斷諸學，使慎禁戒因本清淨而不可盡。 諸在生死斯皆有盡，流轉五道周旋往返亦不寧息，住無常處斯亦盡滅。	003	One should further cultivate the Dharma of the Way and the world. Because of the nature of Dharma, one does not cut off all learning. One makes one's precepts strict and the basis of purity inexhaustible.🔽All who are in birth and death have an end. Transmigrating through the five paths, revolving and returning, one also does not rest. Abiding in impermanent places, this also ends and ceases.
['ZH_T10_0309_003:0981b27_2']	外道異學雖獲五通不離世智，願求長生後失神足，亦復命盡便涉生死。	外道異學雖獲五通不離世智，願求長生後失神足，亦復命盡便涉生死。	003	Heretics and non-Buddhists, although they attain the five supernatural powers, are not free from worldly wisdom. They vow to seek long life, but later lose their spiritual powers. They also exhaust their lifespans and then enter birth and death.🔽Here is the corrected and aligned text:
['ZH_T10_0309_003:0981b28_19']	或有眾生勤行五戒十善之法得生人天，精勤五戒在欲天中，封受自然功德具足。	或有眾生勤行五戒十善之法得生人天，精勤五戒在欲天中，封受自然功德具足。	003	Some sentient beings diligently practice the five precepts and ten wholesome deeds and are reborn in the human realm or heavens. Those diligent in the five precepts in the desire heavens are born in natural palaces with perfect merits.
['ZH_T10_0309_003:0981c01_4']	或有眾生習學空定在色天中，以歡悅為食不念苦本。	或有眾生習學空定在色天中，以歡悅為食不念苦本。	003	Some sentient beings cultivate the emptiness concentration and are in the form heavens, taking joy and delight as food, not thinking of the original suffering.
['ZH_T10_0309_003:0981c03_2']	或有眾生心識澹然希望無為，謂為無想永寂泥洹，斯皆自調不至究竟滅度之處。	或有眾生心識澹然希望無為，謂為無想永寂泥洹，斯皆自調不至究竟滅度之處。	003	Some sentient beings have a tranquil mind and hope for non-action, thinking it to be the eternal quiescence of nirvana without thought. These all tame themselves but do not reach the ultimate place of nirvana.
['ZH_T10_0309_003:0981c04_9']	第八菩薩觀了斯處而不染著，恒敷演法勸進學者使遠離之。	第八菩薩觀了斯處而不染著，恒敷演法勸進學者使遠離之。	003	The eighth ground bodhisattva observes this place but is not attached to it, always expounding the Dharma and encouraging learners to depart from it.
['ZH_T10_0309_003:0981c04_16']	「最勝，當知！	「最勝，當知！	003	Supreme One, you should know!
['ZH_T10_0309_003:0981c06_12']	童真之業亦復遠離二乘之道，從須陀洹至辟支佛皆有釁咎，菩薩終不念羅漢法。	童真之業亦復遠離二乘之道，從須陀洹至辟支佛皆有釁咎，菩薩終不念羅漢法。	003	The deeds of a youth bodhisattva also depart from the paths of the two vehicles. From the stream-enterer to the pratyekabuddha, all have faults. Bodhisattvas never think of the arhat's path.
['ZH_T10_0309_003:0981c08_14']	所以然者，以其用心猗泥洹道，緣覺所修菩薩不學，以其發意無大慈哀，有斯學者此皆非正。	所以然者，以其用心猗泥洹道，緣覺所修菩薩不學，以其發意無大慈哀，有斯學者此皆非正。	003	The reason is that their mind relies on the path of nirvana, which is practiced by pratyekabuddhas but not learned by bodhisattvas, because they do not give rise to the intention of great compassion. Those who study in this way are all not correct.
['ZH_T10_0309_003:0981c11_15']	若有菩薩欲究竟學習智慧海，盡其元本而不可窮，誓願不捨一切眾生，修如來法為不滅性，慧無窮極故不可見，道果開敷使得成就。	若有菩薩欲究竟學習智慧海，盡其元本而不可窮，誓願不捨一切眾生，修如來法為不滅性，慧無窮極故不可見，道果開敷使得成就。	003	If there are bodhisattvas who wish to ultimately study the wisdom ocean, to exhaust its fundamental source and yet be inexhaustible, to vow not to abandon all sentient beings, to cultivate the Tathagata's Dharma as the nature of non-extinction, because wisdom is boundless and therefore invisible, the path and fruition blossom and are accomplished.
['ZH_T10_0309_003:0981c13_13']	言種實者，菩薩發意弘誓之心，十力、無畏、十八不共殊特之法，亦不思議亦不可盡。	言種實者，菩薩發意弘誓之心，十力、無畏、十八不共殊特之法，亦不思議亦不可盡。	003	As for the seeds of reality, the bodhisattva gives rise to the intention of vast vows, the ten powers, the fearlessnesses, and the eighteen distinctive qualities of the Buddha, which are also inconceivable and inexhaustible.
['ZH_T10_0309_003:0981c18_11']	第八菩薩在在遊化，執意行忍無能思議，心不念非無有眾惡，不懷恚恨加於眾生，又不興意與人競諍，復不導人有所毀敗，慎護身口不妄有犯，將護眾生慎己行本，不處邪部思惟善業，無愛欲意能莊嚴身如佛色像。	第八菩薩在在遊化，執意行忍無能思議，心不念非無有眾惡，不懷恚恨加於眾生，又不興意與人競諍，復不導人有所毀敗，慎護身口不妄有犯，將護眾生慎己行本，不處邪部思惟善業，無愛欲意能莊嚴身如佛色像。	003	The eighth bodhisattva, wherever he goes to transform, upholds the intention of practicing patience, which is inconceivable. The mind does not think of non-existence, nor does it have various evils. He does not harbor resentment and hatred towards sentient beings, nor does he give rise to the intention of competing and disputing with others. He also does not lead others to destruction. He carefully protects his body and speech, not falsely committing offenses. He carefully protects sentient beings and is cautious in his own practice. He does not dwell in the heretical teachings and contemplates good karma. He has no lustful intentions and is able to adorn his body like the appearance of the Buddha.
['ZH_T10_0309_003:0981c19_2']	」爾時世尊告最勝曰：	」爾時世尊告最勝曰：	003	At that time, the World-Honored One told Supreme Excellence:
['ZH_T10_0309_003:0981c19_16']	「童真菩薩常當習行音響句義。	「童真菩薩常當習行音響句義。	003	The youthful bodhisattva should always practice the meaning of sound and words.
['ZH_T10_0309_003:0981c20_5']	云何菩薩學音響義？	云何菩薩學音響義？	003	How does the bodhisattva study the meaning of sound?
['ZH_T10_0309_003:0981c23_6']	於是菩薩知諸法空不染諸見，思惟無相不興亂念，分別無願永離三有，法無淫欲本性自淨，不起恚怒永使不生，觀了無明不為愚冥。	於是菩薩知諸法空不染諸見，思惟無相不興亂念，分別無願永離三有，法無淫欲本性自淨，不起恚怒永使不生，觀了無明不為愚冥。	003	In this, the bodhisattva knows that all dharmas are empty and not tainted by various views. He contemplates the signless and does not give rise to chaotic thoughts. He distinguishes the wishless and is forever free from the three existences. The Dharma is originally without sexual desire and is naturally pure. He does not give rise to anger and forever prevents it from being born. He observes and understands ignorance and is not deluded by it.
