segmentnr	original	analyzed	translated
['ZH_T18_0895a_003:0730a15_0']	蘇婆呼童子請問經卷下	蘇婆呼童子請問經卷下	Subāhu-pariprcchā-sūtra, Fascicle 2
['ZH_T18_0895a_003:0730a17_0']	唐天竺三藏輸波迦羅奉　制譯	唐天竺三藏輸波迦羅奉　制譯	Translated by the Tang Dynasty Indian Tripiṭaka Master Śubhakarasiṃha by Imperial Order
['ZH_T18_0895a_003:0730a18_0']	10 分別道分品分別道分品第十	10 分別道分品分別道分品第十	Chapter 10: Distinguishing the Path
['ZH_T18_0895a_003:0730a19_9']	「復次，蘇婆呼童子！	「復次，蘇婆呼童子！	Furthermore, young Subāhu!
['ZH_T18_0895a_003:0730a21_11']	我今為念誦人，說八聖道法，為正見、正分別、正語、正業、正命、正勤、正定正念，此是諸佛所行之道。	我今為念誦人，說八聖道法，為正見、正分別、正語、正業、正命、正勤、正定正念，此是諸佛所行之道。	I will now explain the eightfold noble path for the reciter, namely right view, right thought, right speech, right action, right livelihood, right effort, right concentration, and right mindfulness. This is the path practiced by all buddhas.
['ZH_T18_0895a_003:0730a22_20']	念誦之人行此道者，真言乃成，於此報盡，復生人天勝上妙處。	念誦之人行此道者，真言乃成，於此報盡，復生人天勝上妙處。	If the reciter practices this path, their mantra will be accomplished. When this life ends, they will be reborn in the superior and wonderful realms of humans and gods.
['ZH_T18_0895a_003:0730a24_5']	過去諸佛行此道故，成等正覺，現在、未來諸佛亦復如是。	過去諸佛行此道故，成等正覺，現在、未來諸佛亦復如是。	Because the buddhas of the past practiced this path, they attained perfect enlightenment. The buddhas of the present and future are also like this.
['ZH_T18_0895a_003:0730a25_15']	身口意業所修功德，常依正教不生疲倦，欲如是修行，乃名正業。	身口意業所修功德，常依正教不生疲倦，欲如是修行，乃名正業。	The merit cultivated by the actions of body, speech, and mind should always be in accordance with the correct teachings without giving rise to fatigue. Desiring to practice in this way is called right action.
['ZH_T18_0895a_003:0730a27_1']	飲食、衣服、臥具及受湯藥，常懷知足不生染著，是名正命。	飲食、衣服、臥具及受湯藥，常懷知足不生染著，是名正命。	Being content with food, drink, clothing, bedding, and medicine, and not giving rise to attachment, is called right livelihood.
['ZH_T18_0895a_003:0730a28_14']	不讚己身，不毀他人，遠離諸過，如避火坑及以猛獸，常樂寂靜，是名正語。	不讚己身，不毀他人，遠離諸過，如避火坑及以猛獸，常樂寂靜，是名正語。	Not praising oneself, not disparaging others, staying far away from all faults like avoiding a pit of fire or a ferocious beast, and always delighting in tranquility, is called right speech.
['ZH_T18_0895a_003:0730b02_4']	不學占相吉凶、男女等事，天文、地理、調鷹、調馬，及以調象、射藝、書算，世間言論無益之典，遠離斯過，是名正分別。	不學占相吉凶、男女等事，天文、地理、調鷹、調馬，及以調象、射藝、書算，世間言論無益之典，遠離斯過，是名正分別。	Not studying auspicious or inauspicious divination, matters of men and women, astronomy, geography, training falcons, training horses, training elephants, archery, calligraphy, or worldly debates and useless scriptures, staying far away from these faults, is called right discrimination.
['ZH_T18_0895a_003:0730b04_10']	不觀象鬪、馬鬪、牛羊雞犬等鬪、男女相扠相撲亦不往觀，離如上之戲，是名正念。	不觀象鬪、馬鬪、牛羊雞犬等鬪、男女相扠相撲亦不往觀，離如上之戲，是名正念。	Not watching elephant fights, horse fights, bull fights, sheep fights, chicken fights, dog fights, or watching men and women fighting or wrestling, and leaving behind such games, is called right mindfulness.
['ZH_T18_0895a_003:0730b08_13']	不說王臣、盜賊、鬪戰、相殺、婬女之論及以謎語，說往昔之事，念誦之人乃至未成就中間，不應入城、村落、邑、里，及生緣伽藍制底處，外道神祀所居之處，若園林池河，如此等處並不應往。	不說王臣、盜賊、鬪戰、相殺、婬女之論及以謎語，說往昔之事，念誦之人乃至未成就中間，不應入城、村落、邑、里，及生緣伽藍制底處，外道神祀所居之處，若園林池河，如此等處並不應往。	Do not speak of kings, ministers, thieves, battles, killing each other, or the discussions of prostitutes and riddles. The reciter should not enter cities, villages, towns, or hamlets, or places with life-connections, monasteries, or stupas, places inhabited by non-Buddhist deities, gardens, forests, ponds, or rivers, and so forth, until he has attained accomplishment.
['ZH_T18_0895a_003:0730b11_3']	若不作如前七愆事業，常居山林、高峻崖峯、四絕之頂，晝夜不懈念誦真言，無不獲果，是名正勤。	若不作如前七愆事業，常居山林、高峻崖峯、四絕之頂，晝夜不懈念誦真言，無不獲果，是名正勤。	If one does not commit the seven offenses mentioned above, always dwells in mountains, forests, high cliffs, or the tops of isolated peaks, and recites the mantra day and night without slacking, one will certainly attain results. This is called right effort.
['ZH_T18_0895a_003:0730b12_9']	「復次，蘇婆呼童子！	「復次，蘇婆呼童子！	Furthermore, young Subāhu!
['ZH_T18_0895a_003:0730b17_15']	若念誦人不獲如前上妙勝處，應居空閑神廟、或居樹下、或住河邊、或居山側、或泉池林間、或無人處、或居空室，一心念誦，或一年之中除安居外，春秋二時隨意遊行，山林河邊泉池空室專心念誦，譬如比丘夏月安居，念誦之人亦復如是。	若念誦人不獲如前上妙勝處，應居空閑神廟、或居樹下、或住河邊、或居山側、或泉池林間、或無人處、或居空室，一心念誦，或一年之中除安居外，春秋二時隨意遊行，山林河邊泉池空室專心念誦，譬如比丘夏月安居，念誦之人亦復如是。	If the reciter does not obtain the above excellent and supreme places, he should dwell in an empty and secluded temple, or under a tree, or by a river, or on a mountain side, or in a forest by a spring or pond, or in an uninhabited place, or in an empty room, single-mindedly reciting. For one year, except during the rainy season retreat, he may travel as he pleases during the two seasons of spring and autumn. In the mountains, forests, by rivers, springs, ponds, or in empty rooms, he should focus his mind on recitation, just as a bhikṣu dwells in seclusion during the summer months.
['ZH_T18_0895a_003:0730b20_13']	行人念誦雖滿遍數，正夏安居勿作成就之法，雖不作法，念誦不得間斷，解夏已後如法護身，方可作成就之法，慎勿法外行事。	行人念誦雖滿遍數，正夏安居勿作成就之法，雖不作法，念誦不得間斷，解夏已後如法護身，方可作成就之法，慎勿法外行事。	Although the practitioner may have completed the required number of recitations, during the rainy season retreat he should not perform the method of accomplishment. Although he does not perform the method, he should not interrupt the recitation. After the rainy season retreat, he should protect himself in accordance with the Dharma, and then he may perform the method of accomplishment. He should be careful not to act outside the Dharma.
['ZH_T18_0895a_003:0730b21_9']	「復次，蘇婆呼童子！	「復次，蘇婆呼童子！	Furthermore, young Subāhu!
['ZH_T18_0895a_003:0730b22_5']	今為念誦人說呼摩法置爐差別之法。	今為念誦人說呼摩法置爐差別之法。	Now for the reciter, I will explain the method of summoning and the distinctions in placing the hearth.
['ZH_T18_0895a_003:0730b24_12']	此法或作團圓，或作三角，或作四方，或如蓮花之形，並須有基，爐口安唇，泥拭細滑，外邊基階並須牢固。	此法或作團圓，或作三角，或作四方，或如蓮花之形，並須有基，爐口安唇，泥拭細滑，外邊基階並須牢固。	This ritual may be done in a round shape, a triangular shape, a square shape, or the shape of a lotus flower, all of which should have a base. The mouth of the furnace is equipped with lips, and the mud is finely polished. The outer steps of the base must be firm and solid.
['ZH_T18_0895a_003:0730b26_4']	「若作善事及求錢財，令他敬念作息災法者，其爐須圓。	「若作善事及求錢財，令他敬念作息災法者，其爐須圓。	If one is doing good deeds or seeking wealth and causing others to respect and remember, performing pacifying rites, the furnace should be round.
['ZH_T18_0895a_003:0730b28_9']	「若求成就一切諸事，或求女人及童子女等者，其爐須蓮花之形。	「若求成就一切諸事，或求女人及童子女等者，其爐須蓮花之形。	If one seeks to accomplish all matters, or seeks women, young girls, and so forth, the furnace should be shaped like a lotus flower.
