segmentnr	original	analyzed	translated
['ZH_T21_1314_001:0465c04_0']	佛說救面然餓鬼陀羅尼神呪經	佛說救面然餓鬼陀羅尼神呪經	The Buddha Speaks the Dhāraṇī and Divine Spell for Saving the Ghost of a Burning Face Sutra
['ZH_T21_1314_001:0465c05_0']	一卷	一卷	One fascicle
['ZH_T21_1314_001:0465c07_0']	唐于闐三藏實叉難陀譯	唐于闐三藏實叉難陀譯	Translated by Tripiṭaka Master Śikṣānanda of Khotan during the Tang Dynasty
['ZH_T21_1314_001:0465c10_3']	爾時，世尊在迦毘羅城尼俱律那僧伽藍所，與諸比丘，并諸菩薩、無數眾生周匝圍繞，而為說法。	爾時，世尊在迦毘羅城尼俱律那僧伽藍所，與諸比丘，并諸菩薩、無數眾生周匝圍繞，而為說法。	At that time, the World-Honored One was at the Nyagrodha Saṃghārāma in the city of Kapilavastu, surrounded by bhikṣus, bodhisattvas, and countless beings, expounding the Dharma for them.
['ZH_T21_1314_001:0465c11_14']	爾時，阿難獨居淨處，一心計念。	爾時，阿難獨居淨處，一心計念。	At that time, Ānanda was alone in a pure place, single-mindedly contemplating.
['ZH_T21_1314_001:0465c13_3']	即於其夜三更之後，見一餓鬼，名曰「面然」，住阿難前，白阿難言：	即於其夜三更之後，見一餓鬼，名曰「面然」，住阿難前，白阿難言：	In the middle of the third watch of the night, he saw a ghost named Face-Burning standing in front of Ānanda and said to him:
['ZH_T21_1314_001:0465c14_2']	「却後三日，汝命將盡，即便生此餓鬼之中。	「却後三日，汝命將盡，即便生此餓鬼之中。	In three days, your life will end and you will be reborn among the hungry ghosts.
['ZH_T21_1314_001:0465c15_1']	」是時，阿難聞此語已，心生惶怖，問餓鬼言：	」是時，阿難聞此語已，心生惶怖，問餓鬼言：	When Ānanda heard these words, he was frightened and asked the ghost:
['ZH_T21_1314_001:0465c15_17']	「我此災禍，作何方計，得免斯苦？	「我此災禍，作何方計，得免斯苦？	What plan can I use to avoid this suffering?
['ZH_T21_1314_001:0465c16_4']	」爾時，餓鬼報阿難言：	」爾時，餓鬼報阿難言：	At that time, the ghost replied to Ānanda:
