segmentnr	original	analyzed	folio	translated
['ZH_T40_1804_01b:0014a21_0']	6 結界方法篇(上二)結界方法篇第六	6 結界方法篇(上二)結界方法篇第六	01b	Chapter on the Methods of Establishing Boundaries (Part 1 of 2) Chapter 6: Methods of Establishing Boundaries
['ZH_T40_1804_01b:0014a22_0']	結界元始，本欲秉法。由羯磨僧宗綱要，匡救	結界元始，本欲秉法。由羯磨僧宗綱要，匡救	01b	The origin of establishing boundaries is fundamentally to uphold the Dharma. Because the monastic precepts are the essential principles, rectifying and rescuing
['ZH_T40_1804_01b:0014a23_0']	佛法，像運任持，功歸於此；理宜十方同遵，許	佛法，像運任持，功歸於此；理宜十方同遵，許	01b	the Buddha's teachings, and upholding them in the image period, the merit returns to this; the principle is that all should follow the same, allowing
['ZH_T40_1804_01b:0014a24_3']	無乖隔。	無乖隔。	01b	no disagreement.
['ZH_T40_1804_01b:0014a24_15']	但為剡浮洲境，彌亘既寬；	但為剡浮洲境，彌亘既寬；	01b	However, the realm of Jambudvīpa is vast and wide;
['ZH_T40_1804_01b:0014a25_4']	每一集僧，期要難剋；	每一集僧，期要難剋；	01b	whenever gathering the Saṅgha, it is difficult to achieve the goal;
['ZH_T40_1804_01b:0014a25_16']	加以損功廢道，恒事奔馳。	加以損功廢道，恒事奔馳。	01b	furthermore, it wastes effort and neglects the path, always running around.
['ZH_T40_1804_01b:0014a26_10']	大聖愍其頓極，故開隨處局結；	大聖愍其頓極，故開隨處局結；	01b	The Great Sage pities their exhaustion, so he allows establishing boundaries according to the location;
['ZH_T40_1804_01b:0014a26_20']	作法分隔，同界崇遵；	作法分隔，同界崇遵；	01b	establishing the boundary through ritual, the same boundary is upheld;
['ZH_T40_1804_01b:0014a27_9']	功成事遂，總意如此。	功成事遂，總意如此。	01b	the merit is accomplished, the matter is completed, the general meaning is like this.
['ZH_T40_1804_01b:0014a27_14']	就中分四：	就中分四：	01b	Within this, it is divided into four parts:
