segmentnr	original	analyzed	translated
['ZH_T42_1825_02b:0196b15_0']	4 觀相門(中末)觀相門第四	4 觀相門(中末)觀相門第四	Chapter on Contemplating Characteristics (Middle End) Chapter 4 on Contemplating Characteristics
['ZH_T42_1825_02b:0196b16_0', 'ZH_T42_1825_02b:0196b17_0']	所以有此門者有通別二義。通意有三。一🔽者根性不同悟入各異。自有聞求四緣無四	所以有此門者有通別二義。通意有三。一 者根性不同悟入各異。自有聞求四緣無四	The reason for this chapter is that there are two general and specific meanings. The general meaning has three points.
['ZH_T42_1825_02b:0196b18_11']	不悟聞撿三相無三而得道。	不悟聞撿三相無三而得道。	First, due to different capacities, understanding and entry are different. Some do not understand the four conditions being nonexistent upon hearing the four conditions being sought, but attain the Way upon hearing the three characteristics being nonexistent.
['ZH_T42_1825_02b:0196b18_17']	故說三相門。	故說三相門。	Therefore, the chapter on the three characteristics is taught.
['ZH_T42_1825_02b:0196b19_8']	二者欲通釋諸方等經。	二者欲通釋諸方等經。	Second, it is to explain the various Vaipulya sūtras.
['ZH_T42_1825_02b:0196b20_1']	經中自有明四緣畢竟空。	經中自有明四緣畢竟空。	The sūtras themselves clarify the ultimate emptiness of the four conditions.
['ZH_T42_1825_02b:0196b20_10']	自有明三相畢竟空。	自有明三相畢竟空。	They themselves clarify the ultimate emptiness of the three characteristics.
['ZH_T42_1825_02b:0196b21_1']	佛世利根聞並皆得道。	佛世利根聞並皆得道。	The sharp-witted of the Buddha's time all attained the Way upon hearing both.
['ZH_T42_1825_02b:0196b21_16']	末世鈍根尋之未悟故論主曲釋也。	末世鈍根尋之未悟故論主曲釋也。	The dull-witted of the latter age have not yet understood upon seeking. Therefore, the author of the treatise explains it in detail.
['ZH_T42_1825_02b:0196b22_10']	三者經有歷法明空歷法觀行。	三者經有歷法明空歷法觀行。	Third, the sūtras clarify emptiness by going through the dharmas and the practices of contemplation.
['ZH_T42_1825_02b:0196b22_15']	論亦如是。	論亦如是。	The treatise is also like this.
['ZH_T42_1825_02b:0196b23_3']	故有此門來也。	故有此門來也。	Therefore, this chapter comes.
['ZH_T42_1825_02b:0196b23_14']	問今為申三相為破三相。	問今為申三相為破三相。	Question: Is it now to explain the three characteristics or to refute the three characteristics?
['ZH_T42_1825_02b:0196b24_1']	答具有二義。	答具有二義。	Answer: It has both meanings.
['ZH_T42_1825_02b:0196b24_8']	原佛說三相者。	原佛說三相者。	The original Buddha spoke of the three characteristics.
['ZH_T42_1825_02b:0196b25_2']	無名相中為眾生故強名相說。	無名相中為眾生故強名相說。	Within the nameless characteristics, for the sake of sentient beings, he forcefully spoke of the characteristics with names.
['ZH_T42_1825_02b:0196b25_9']	此是無三說三。	此是無三說三。	This is the non-three spoken of as three.
['ZH_T42_1825_02b:0196b25_17']	所以無三說三者。	所以無三說三者。	The reason for speaking of three in the non-three is
