segmentnr	original	analyzed	folio	translated
['ZH_T42_1828_15a:0639a12_0']	釋遁倫集撰	釋遁倫集撰	15a	Compiled by Shi Dunlun
['ZH_T42_1828_15a:0639a13_0']	論本第五十五	論本第五十五	15a	Treatise, Part Fifty-Five
['ZH_T42_1828_15a:0639a14_0']	上來約名色二義明蘊善巧中。初以十義分	上來約名色二義明蘊善巧中。初以十義分	15a	In the above, the skillful means of the aggregates are explained based on the two meanings of name and form. First, the meaning of form is divided
['ZH_T42_1828_15a:0639a15_6']	別色義已今竟。	別色義已今竟。	15a	into ten meanings. Now it is finished.
['ZH_T42_1828_15a:0639a15_14']	此即初解四蘊名。	此即初解四蘊名。	15a	This is the first explanation of the names of the four aggregates.
['ZH_T42_1828_15a:0639a16_2']	先結前生後。	先結前生後。	15a	First, it concludes the previous and gives rise to the next.
['ZH_T42_1828_15a:0639a16_11']	乃至隨所應建立相。	乃至隨所應建立相。	15a	Up to establishing the characteristics as appropriate.
['ZH_T42_1828_15a:0639a16_15']	二解釋。	二解釋。	15a	Second, the explanation.
['ZH_T42_1828_15a:0639a17_8']	於中初以十門別解四蘊之名。	於中初以十門別解四蘊之名。	15a	Among them, first, the names of the four aggregates are explained separately in ten aspects.
['ZH_T42_1828_15a:0639a18_3']	後就三性四蘊皆作九門解釋。	後就三性四蘊皆作九門解釋。	15a	Later, in the three natures, the four aggregates are all explained in nine aspects.
['ZH_T42_1828_15a:0639a18_6']	前中。	前中。	15a	In the former,
['ZH_T42_1828_15a:0639a19_1']	初解本地分第二卷中立一心相。	初解本地分第二卷中立一心相。	15a	first, the characteristics of the one mind established in the second fascicle of the basic section are explained.
['ZH_T42_1828_15a:0639a19_13']	此中別引二經非本地分文。	此中別引二經非本地分文。	15a	Here, two sutras are quoted separately, not the text of the basic section.
['ZH_T42_1828_15a:0639a20_4']	如世尊言等是第一經。	如世尊言等是第一經。	15a	As the World-Honored One said, etc., is the first sutra.
['ZH_T42_1828_15a:0639a20_13']	又如是言等第二經。	又如是言等第二經。	15a	Also, as such words, etc., is the second sutra.
['ZH_T42_1828_15a:0639a20_18']	下釋經文。	下釋經文。	15a	The sutra text is explained below.
['ZH_T42_1828_15a:0639a21_1']	景云。	景云。	15a	Jing says:
['ZH_T42_1828_15a:0639a21_11']	如是類乃至發一心者。	如是類乃至發一心者。	15a	Such kinds, up to giving rise to one mind,
['ZH_T42_1828_15a:0639a21_15']	轉起義。	轉起義。	15a	means the meaning of transformation and arising.
