segmentnr	original	analyzed	folio	translated
['ZH_T46_1912_05e:0309b14_0', 'ZH_T46_1912_05e:0309b15_0']	唐毘陵沙門湛然述🔽大經下以涅槃釋義。然無生義散在諸	唐毘陵沙門湛然述 大經下以涅槃釋義。然無生義散在諸	05e	Compiled by Monk Zhanran of Piling in the Tang Dynasty
['ZH_T46_1912_05e:0309b16_0']	教。名相委悉不過大經。故引四句六句釋	教。名相委悉不過大經。故引四句六句釋	05e	The meaning of nirvana is explained in the latter part of the great sutra. However, the meaning of non-arising is scattered throughout various teachings. The names and characteristics are not more detailed than the great sutra. Therefore, the four phrases and six phrases are quoted to explain
['ZH_T46_1912_05e:0309b17_3']	無生義。	無生義。	05e	the meaning of non-arising.
['ZH_T46_1912_05e:0309b18_1']	不出自他智斷能所事理思議不思議。	不出自他智斷能所事理思議不思議。	05e	It does not go beyond self, other, wisdom, elimination, ability, object, principle, conceivable, and inconceivable.
['ZH_T46_1912_05e:0309b18_6']	悉無生也。	悉無生也。	05e	All are non-arising.
['ZH_T46_1912_05e:0309b18_17']	即是因果光揚能顯義也。	即是因果光揚能顯義也。	05e	This is the cause and effect that glorifies the ability to reveal the meaning.
['ZH_T46_1912_05e:0309b19_5']	並在第十九經也。	並在第十九經也。	05e	They are all in the nineteenth chapter.
['ZH_T46_1912_05e:0309b19_16']	初釋四句言不聞聞一句。	初釋四句言不聞聞一句。	05e	The first explanation of the four phrases says not hearing hearing in one phrase.
['ZH_T46_1912_05e:0309b20_4']	有種種義者。	有種種義者。	05e	There are various meanings.
['ZH_T46_1912_05e:0309b20_14']	經初列不聞聞等四句。	經初列不聞聞等四句。	05e	At the beginning of the sutra, the four phrases such as not hearing hearing are listed.
['ZH_T46_1912_05e:0309b21_5']	次以不生生等四句。	次以不生生等四句。	05e	Next, the four phrases such as non-arising arising are used.
['ZH_T46_1912_05e:0309b21_11']	釋不聞聞等。	釋不聞聞等。	05e	To explain not hearing hearing and so on.
['ZH_T46_1912_05e:0309b22_1']	復以不至至等四句。	復以不至至等四句。	05e	Again, the four phrases such as not reaching reaching are used.
['ZH_T46_1912_05e:0309b22_7']	釋不生生等。	釋不生生等。	05e	To explain non-arising arising and so on.
['ZH_T46_1912_05e:0309b22_18']	故云不聞聞等有種種義。	故云不聞聞等有種種義。	05e	Therefore, it is said that not hearing hearing and so on have various meanings.
['ZH_T46_1912_05e:0309b23_8']	今處中說又順無生。	今處中說又順無生。	05e	Now, the middle is explained, and it also accords with non-arising.
['ZH_T46_1912_05e:0309b24_2']	故用不生生等釋無生義。	故用不生生等釋無生義。	05e	Therefore, non-arising arising and so on are used to explain the meaning of non-arising.
['ZH_T46_1912_05e:0309b24_18']	然古人以不聞聞不生生等四句在前。	然古人以不聞聞不生生等四句在前。	05e	However, the ancients placed the four phrases of not hearing hearing, not producing production, etc. in front.
['ZH_T46_1912_05e:0309b25_9']	下一一但是轉釋而已。	下一一但是轉釋而已。	05e	Below, each one is just a reinterpretation.
['ZH_T46_1912_05e:0309b26_1']	故多釋不聞聞等四句。	故多釋不聞聞等四句。	05e	Therefore, many explain the four phrases of not hearing hearing, etc.
['ZH_T46_1912_05e:0309b26_6']	餘句但例。	餘句但例。	05e	The other phrases are just examples.
['ZH_T46_1912_05e:0309b26_9', 'ZH_T46_1912_05e:0309b26_17']	有云。🔽聞不聞即俗而真。	有云。 聞不聞即俗而真。	05e	Some say:🔽Hearing not hearing is from the conventional to the true.
['ZH_T46_1912_05e:0309b27_6']	不聞聞是即真而俗。	不聞聞是即真而俗。	05e	Not hearing hearing is from the true to the conventional.
['ZH_T46_1912_05e:0309b27_11']	聞聞但俗。	聞聞但俗。	05e	Hearing hearing is only conventional.
['ZH_T46_1912_05e:0309b27_18']	不聞不聞但真。	不聞不聞但真。	05e	Not hearing not hearing is only true.
['ZH_T46_1912_05e:0309b28_1']	又云。	又云。	05e	It is also said:
['ZH_T46_1912_05e:0309b28_9']	不聞聞從真起應。	不聞聞從真起應。	05e	Not hearing hearing arises from the true to respond.
['ZH_T46_1912_05e:0309b28_17']	聞不聞攝應還本。	聞不聞攝應還本。	05e	Hearing not hearing is to gather the response and return to the origin.
['ZH_T46_1912_05e:0309b29_7']	不聞不聞法身凝然。	不聞不聞法身凝然。	05e	Not hearing not hearing is the quiescent and eternal Dharma body.
['ZH_T46_1912_05e:0309b29_15']	聞聞是應迹不已。	聞聞是應迹不已。	05e	Hearing hearing is the unceasing traces of response.
['ZH_T46_1912_05e:0309c01_5']	不生生等古亦多解。	不生生等古亦多解。	05e	The ancients also had many explanations for not producing production, etc.
['ZH_T46_1912_05e:0309c01_13']	興皇以雪山偈銷。	興皇以雪山偈銷。	05e	Xuanzang used the verses of the Snow Mountain to explain.
['ZH_T46_1912_05e:0309c02_3']	不生生是諸行無常。	不生生是諸行無常。	05e	Not producing production is the impermanence of all conditioned things.
['ZH_T46_1912_05e:0309c02_12']	生不生是是生滅法。	生不生是是生滅法。	05e	Producing not producing is the law of arising and ceasing.
['ZH_T46_1912_05e:0309c03_1']	生生是生滅滅已。	生生是生滅滅已。	05e	Producing producing is the cessation of arising and ceasing.
['ZH_T46_1912_05e:0309c03_11']	不生不生是寂滅為樂。	不生不生是寂滅為樂。	05e	Not producing not producing is quiescent extinction as bliss.🔽It is also said:
['ZH_T46_1912_05e:0309c03_18']	又將四出偈銷。	又將四出偈銷。	05e	The four phrases are explained using the verses.
['ZH_T46_1912_05e:0309c04_10']	言四出者此偈四處出之。	言四出者此偈四處出之。	05e	As for appearing in four places, this verse appears in four places.
['ZH_T46_1912_05e:0309c05_2']	古人名為涅槃四柱。	古人名為涅槃四柱。	05e	Ancient people called it the four pillars of nirvana.
['ZH_T46_1912_05e:0309c05_13']	謂九十五二十五二十六。	謂九十五二十五二十六。	05e	Referring to the ninety-five, the twenty-five, and the twenty-six.
['ZH_T46_1912_05e:0309c06_2']	不生生本無今有。	不生生本無今有。	05e	Non-arising arising, originally non-existent now existent.
['ZH_T46_1912_05e:0309c06_10']	生不生本有今無。	生不生本有今無。	05e	Arising non-arising, originally existent now non-existent.
['ZH_T46_1912_05e:0309c07_6']	生生三世有法不生不生無有是處。	生生三世有法不生不生無有是處。	05e	Arising arising, dharmas of the three times exist; non-arising non-arising, it is not the case that they do not exist.
['ZH_T46_1912_05e:0309c07_9']	又云。	又云。	05e	It is also said.
['ZH_T46_1912_05e:0309c08_1']	如來證涅槃等四句對之。	如來證涅槃等四句對之。	05e	The Tathagata's realization of nirvana and so forth are opposed in four statements.
['ZH_T46_1912_05e:0309c08_5']	章安云。	章安云。	05e	Zhanran said.
['ZH_T46_1912_05e:0309c09_5']	準下文云我因是事即得解於一句半句。	準下文云我因是事即得解於一句半句。	05e	According to the following text, I, because of this matter, was able to understand a single phrase or half a phrase.
['ZH_T46_1912_05e:0309c09_14']	得見佛性入於涅槃。	得見佛性入於涅槃。	05e	I was able to see the Buddha-nature and enter nirvana.
['ZH_T46_1912_05e:0309c10_5', 'ZH_T46_1912_05e:0309c10_12', 'ZH_T46_1912_05e:0309c11_1']	當知並是見佛性句。🔽不聞聞了因性。🔽聞不聞緣因性。	當知並是見佛性句。 不聞聞了因性。 聞不聞緣因性。	05e	One should know that these are all phrases for seeing the Buddha-nature.🔽Not hearing hearing is the nature of the perfecting cause.🔽Hearing not hearing is the nature of the conditional cause.
['ZH_T46_1912_05e:0309c11_9']	不聞不聞正因性。	不聞不聞正因性。	05e	Not hearing not hearing is the nature of the direct cause.
['ZH_T46_1912_05e:0309c11_15']	聞聞境界性。	聞聞境界性。	05e	Hearing hearing is the nature of the realm.
['ZH_T46_1912_05e:0309c12_5']	例此以釋不生生等。	例此以釋不生生等。	05e	Using this as an analogy to explain non-arising arising and so forth,
['ZH_T46_1912_05e:0309c12_10']	亦應可見。	亦應可見。	05e	one should also be able to see it.
['ZH_T46_1912_05e:0309c13_1']	雖古多釋未會經旨。	雖古多釋未會經旨。	05e	Although there have been many ancient explanations, they have not yet understood the meaning of the sutra.
['ZH_T46_1912_05e:0309c13_13']	依章安解復是一途章安云。	依章安解復是一途章安云。	05e	Relying on Zhanran's understanding is also one approach. Zhanran said.
['ZH_T46_1912_05e:0309c14_8']	並不如此智斷因果俱無生也。	並不如此智斷因果俱無生也。	05e	None of them is like this, with both wisdom, severence, cause and effect being unborn.
['ZH_T46_1912_05e:0309c14_17']	但為銷經別作一途。	但為銷經別作一途。	05e	But it is just to sell the sutra and make a separate path.
['ZH_T46_1912_05e:0309c15_10']	彼經佛欲說此不聞聞等。	彼經佛欲說此不聞聞等。	05e	In that sutra, the Buddha wanted to speak of this hearing the unhearable and so on.
['ZH_T46_1912_05e:0309c16_2']	放光照於十方世界。	放光照於十方世界。	05e	He emitted light illuminating the worlds in the ten directions.
['ZH_T46_1912_05e:0309c16_12']	時東方有瑠璃光菩薩。	時東方有瑠璃光菩薩。	05e	At that time, in the east there was a Bodhisattva named Vaiduryaprabha.
['ZH_T46_1912_05e:0309c16_17']	初來之時。	初來之時。	05e	When he first came,
['ZH_T46_1912_05e:0309c17_6']	一切大眾非青見青。	一切大眾非青見青。	05e	the entire great assembly saw blue when it was not blue,
['ZH_T46_1912_05e:0309c17_14']	乃至非白見白等。	乃至非白見白等。	05e	and saw white when it was not white, and so on.
['ZH_T46_1912_05e:0309c18_5']	諸菩薩等見此光明。	諸菩薩等見此光明。	05e	The Bodhisattvas saw this light
['ZH_T46_1912_05e:0309c18_10']	皆相問言。	皆相問言。	05e	and all asked each other,
['ZH_T46_1912_05e:0309c18_15']	此是何光。	此是何光。	05e	What is this light?
['ZH_T46_1912_05e:0309c19_1']	皆默不答。	皆默不答。	05e	They all remained silent and did not answer.
['ZH_T46_1912_05e:0309c19_6']	次問文殊。	次問文殊。	05e	Next they asked Manjushri.
