segmentnr	original	analyzed	translated
['ZH_T47_1998A_021:0898b14_0', 'ZH_T47_1998A_021:0898b16_0', 'ZH_T47_1998A_021:0898b17_0']	大慧普覺禪師法說卷第二十一🔽宋徑山能仁禪院住持嗣法🔽慧日禪師臣蘊聞　上進	大慧普覺禪師法說卷第二十一 宋徑山能仁禪院住持嗣法 慧日禪師臣蘊聞　上進	The Dharma Talks of Chan Master Dahui Pujue, Scroll Twenty-One🔽The Dharma Heir of Chan Master Huiji Chan Master Huiri, the Abbot of Nengren Chan Monastery on Mount Jing in the Song Dynasty, Respectfully Submitted by the Subject Yunwen
['ZH_T47_1998A_021:0898b19_10']	示鄂守熊祠部示鄂守熊祠部叔雅近世士大夫多欲學此道。	示鄂守熊祠部示鄂守熊祠部叔雅近世士大夫多欲學此道。	Instructions to the Prefect of E Prefecture, Shuya, on the Recent Scholars and Officials Who Want to Study This Way
['ZH_T47_1998A_021:0898b19_17', 'ZH_T47_1998A_021:0898b20_5']	而心不純一者。🔽病在雜毒入心。	而心不純一者。 病在雜毒入心。	But whose minds are not pure and single.🔽The illness lies in the poison of miscellaneous things entering the mind.
['ZH_T47_1998A_021:0898b20_12', 'ZH_T47_1998A_021:0898b20_18']	雜毒既入其心。🔽則觸途成滯。	雜毒既入其心。 則觸途成滯。	Once the poison of miscellaneous things enters the mind,🔽Then one encounters situations and becomes stuck.
['ZH_T47_1998A_021:0898b21_4', 'ZH_T47_1998A_021:0898b21_10']	觸途成滯。🔽則我見增長。	觸途成滯。 則我見增長。	Encountering situations and becoming stuck,🔽Then the view of self grows.
['ZH_T47_1998A_021:0898b21_15']	我見增長。	我見增長。	When the view of self grows,
['ZH_T47_1998A_021:0898b22_7']	則滿眼滿耳只見他人過失。	則滿眼滿耳只見他人過失。	Then the eyes and ears are filled only with seeing the faults of others.
['ZH_T47_1998A_021:0898b23_6']	殊不能退步略自檢察看逐日下得床來。	殊不能退步略自檢察看逐日下得床來。	One is completely unable to take a step back and slightly examine oneself. After getting out of bed each day,
['ZH_T47_1998A_021:0898b23_15']	有甚利他利己之事。	有甚利他利己之事。	What is the matter of benefiting others and benefiting oneself?
['ZH_T47_1998A_021:0898b24_3']	能如是檢察者。	能如是檢察者。	Those who are able to examine in this way
