segmentnr	original	analyzed	translated
['ZH_T54_2133B_001:1197a18_0']	梵語千字文并序附刻	梵語千字文并序附刻	Thousand-character Text in Sanskrit with Preface
['ZH_T54_2133B_001:1197a20_0']	三藏法師義淨撰	三藏法師義淨撰	Composed by Tripiṭaka Master Yijing
['ZH_T54_2133B_001:1197a21_0']	梵語千字文序為欲向西國人作學語樣仍各註中梵音下題	梵語千字文序為欲向西國人作學語樣仍各註中梵音下題	Preface to the Thousand-Character Text in Sanskrit: In order to create a model for learning the language for people in the Western countries, each is annotated with the Middle Indian sound below the title.
['ZH_T54_2133B_001:1197a24_14']	漢字其無字者以音正之並是當途要字但學得此則餘語皆通不同者舊千字文若兼悉曇章讀梵本一兩年間即堪翻譯矣。	漢字其無字者以音正之並是當途要字但學得此則餘語皆通不同者舊千字文若兼悉曇章讀梵本一兩年間即堪翻譯矣。	Chinese characters. For those without characters, the sounds are corrected. These are all essential characters on the road. If one can learn this, then the rest of the language is all understood. It is different from the old thousand-character text. If one also studies the Siddham chapter, then in one or two years of reading Sanskrit texts, one will be able to translate.
['ZH_T54_2133B_001:1197a26_9']	梵語千字文舊刻序梵語千字文舊刻序附凡例五則錦囊玉函曾藏寶冊矣。	梵語千字文舊刻序梵語千字文舊刻序附凡例五則錦囊玉函曾藏寶冊矣。	Preface to the Old Edition of the Thousand-Character Text in Sanskrit. Preface to the Old Edition of the Thousand-Character Text in Sanskrit. Five General Rules. The precious book has long been hidden in the brocade bag and jade box.
['ZH_T54_2133B_001:1197a26_19']	梵語千字文斯其目也。	梵語千字文斯其目也。	The Thousand-Character Text in Sanskrit is its title.
['ZH_T54_2133B_001:1197a27_12']	曩哲傳言義淨三藏之所撰也。	曩哲傳言義淨三藏之所撰也。	It was composed by Tripiṭaka Master Yijing of the past.
['ZH_T54_2133B_001:1197a28_7']	然舊籍之中援文才存全書久隱。	然舊籍之中援文才存全書久隱。	However, in the old texts, only the text is quoted, while the complete book has long been hidden.
['ZH_T54_2133B_001:1197a29_9']	昔在東武偶摸一本而出敗笥蠧簡之餘未能全矣。	昔在東武偶摸一本而出敗笥蠧簡之餘未能全矣。	In the past, in the Eastern Capital, I occasionally copied a copy, but it was incomplete, remaining from the damaged box and worm-eaten slips.
['ZH_T54_2133B_001:1197b02_13']	頃年遊洛幸得眾本禪餘考訂粗復正策敻博達梵國之異聞大洗蕩聖經之滯疑襲重祕惜獨展眉矣。	頃年遊洛幸得眾本禪餘考訂粗復正策敻博達梵國之異聞大洗蕩聖經之滯疑襲重祕惜獨展眉矣。	In recent years, while traveling in Luoyang, I fortunately obtained the original text. In my spare time from meditation, I examined and corrected it, roughly restoring the correct method. The strange teachings from the distant and vast Brahmanic countries were greatly washed away, and the doubts and suspicions in the sacred scriptures were thoroughly eliminated. I alone unfurled my eyebrows in the face of the profound secrets.
