segmentnr	original	analyzed	translated
['ZH_T55_2155_02a:0730a16_0']	唐崇福寺沙門智昇撰	唐崇福寺沙門智昇撰	Compiled by Monk Zhizeng of Chongfu Temple in the Tang Dynasty
['ZH_T55_2155_02a:0730a17_0', 'ZH_T55_2155_02a:0730a18_0']	如意輪陀羅尼經一卷唐天竺三藏菩提流🔽志譯	如意輪陀羅尼經一卷唐天竺三藏菩提流 志譯	Nirmāṇarati-dhāraṇī Sūtra, 1 fascicle, translated by Tripiṭaka Master Bodhiruci of India during the Tang Dynasty
['ZH_T55_2155_02a:0730b06_6_0']	文殊師利根本一字陀羅尼經一卷唐三藏寶思惟譯曼殊室利菩薩呪藏中	文殊師利根本一字陀羅尼經一卷唐三藏寶思惟譯曼殊室利菩薩呪藏中	Mañjuśrī's Fundamental One-Syllable Dhāraṇī Sūtra, 1 fascicle, translated by Tripiṭaka Master Baosiwei of the Tang Dynasty. Mañjuśrī Bodhisattva's Dhāraṇī Pitaka
['ZH_T55_2155_02a:0730b06_6_1']	一字呪王經一卷唐天后代三藏義淨譯十二佛名神呪經一卷隋天竺三藏	一字呪王經一卷唐天后代三藏義淨譯十二佛名神呪經一卷隋天竺三藏	One-Syllable Dhāraṇī King Sūtra, 1 fascicle, translated by Tripiṭaka Master Yijing during the reign of Empress Wu of the Tang Dynasty. Twelve Buddhas' Names and Divine Dhāraṇīs Sūtra, 1 fascicle, translated by Tripiṭaka Master Jñānagupta of India during the Sui Dynasty
['ZH_T55_2155_02a:0730b06_6_2']	闍那崛多等譯稱讚如來功德神呪經一卷唐三藏義淨譯觀自在菩薩如意	闍那崛多等譯稱讚如來功德神呪經一卷唐三藏義淨譯觀自在菩薩如意	Praising the Tathāgata's Meritorious Divine Dhāraṇī Sūtra, 1 fascicle, translated by Tripiṭaka Master Yijing of the Tang Dynasty. Avalokitêśvara Bodhisattva's Wish-Fulfilling
['ZH_T55_2155_02a:0730b06_6_3']	陀羅尼經一卷唐三藏義淨譯孔雀王呪經一卷姚秦三藏鳩摩羅什譯大金	陀羅尼經一卷唐三藏義淨譯孔雀王呪經一卷姚秦三藏鳩摩羅什譯大金	Dhāraṇī Sūtra, 1 fascicle, translated by Tripiṭaka Master Yijing of the Tang Dynasty. Peacock King Dhāraṇī Sūtra, 1 fascicle, translated by Tripiṭaka Master Kumārajīva of the Yao Qin Dynasty. Great Golden
['ZH_T55_2155_02a:0730b06_6_4']	色孔雀王呪經一卷失譯佛說大金色孔雀王呪經一卷失譯孔雀王呪經二	色孔雀王呪經一卷失譯佛說大金色孔雀王呪經一卷失譯孔雀王呪經二	Peacock King Dhāraṇī Sūtra, 1 fascicle, translator lost. Buddha Speaks the Great Golden Peacock King Dhāraṇī Sūtra, 1 fascicle, translator lost. Peacock King Dhāraṇī Sūtra, 2
['ZH_T55_2155_02a:0730b06_6_5']	卷梁扶南三藏僧伽婆羅第七譯大孔雀王經三卷唐三藏義淨於東都內道	卷梁扶南三藏僧伽婆羅第七譯大孔雀王經三卷唐三藏義淨於東都內道	Scroll Liang Fannan Tripiṭaka Master Saṃghabhara's seventh translation of the Mahāmāyūrīvidyārājñī Sūtra in three scrolls Tang Tripiṭaka Master Yijing's translation in the Eastern Capital
['ZH_T55_2155_02a:0730b06_6_6']	場譯上十一經十四卷同帙計一百七十一紙	場譯上十一經十四卷同帙計一百七十一紙	Scroll 7, translated by Tripiṭaka Master Saṃghabhara of Funan in the Liang dynasty, Great Peacock King Sutra in 3 scrolls, translated by Tripiṭaka Master Yijing of the Tang dynasty at the Inner Buddhist Temple in the Eastern Capital, the above 11 sutras in 14 scrolls are in the same case, totaling 171 pages.
['ZH_T55_2155_02a:0730b06_6_1']	【效】。	【效】。	[Efficacy].
['ZH_T55_2155_02a:0730b21_11_0']	陀羅尼集經十二卷唐中天竺三藏阿地瞿多譯十一面觀世音神呪經一卷	陀羅尼集經十二卷唐中天竺三藏阿地瞿多譯十一面觀世音神呪經一卷	Dhāraṇī Collection Sutra in 12 scrolls, translated by Tripiṭaka Master Atigupta of Central India in the Tang dynasty, Eleven-Faced Avalokiteśvara Bodhisattva's Divine Dhāraṇī Sutra in 1 scroll,
['ZH_T55_2155_02a:0730b21_11_1']	周宇文氏天竺三藏耶舍崛多等譯十一面神呪心經一卷唐三藏玄奘譯摩	周宇文氏天竺三藏耶舍崛多等譯十一面神呪心經一卷唐三藏玄奘譯摩	translated by Tripiṭaka Masters Yéshé Déva and others of the Zhou dynasty in the Yuwen period, Eleven-Faced Divine Dhāraṇī Heart Sutra in 1 scroll, translated by Tripiṭaka Master Xuanzang of the Tang dynasty,
['ZH_T55_2155_02a:0730b21_11_2']	利支天經一卷失譯呪五首經一卷唐三藏玄奘譯千轉陀羅尼觀世音菩薩	利支天經一卷失譯呪五首經一卷唐三藏玄奘譯千轉陀羅尼觀世音菩薩	Mārīcī Heavenly Deity Sutra in 1 scroll, translator lost, Five Divine Spells Sutra in 1 scroll, translated by Tripiṭaka Master Xuanzang of the Tang dynasty, Thousand Transformations Dhāraṇī Avalokiteśvara Bodhisattva
['ZH_T55_2155_02a:0730b21_11_3']	呪經一卷唐總持寺沙門智通譯六字神呪經一卷唐天竺三藏菩提流志譯	呪經一卷唐總持寺沙門智通譯六字神呪經一卷唐天竺三藏菩提流志譯	Divine Spell Sutra in 1 scroll, translated by Zhi Tong, a monk from Zongchi Temple in the Tang dynasty, Six-Syllable Divine Spell Sutra in 1 scroll, translated by Tripiṭaka Master Bodhiruci of India in the Tang dynasty.
['ZH_T55_2155_02a:0730b21_11_4', 'ZH_T55_2155_02a:0730b21_11_5']	七俱胝佛大心准提陀羅尼經一卷唐中天竺三藏地婆訶羅譯七俱胝佛母🔽准提大明陀羅尼經一卷唐三藏金剛智譯上九經二十卷二帙計三百八十	七俱胝佛大心准提陀羅尼經一卷唐中天竺三藏地婆訶羅譯七俱胝佛母 准提大明陀羅尼經一卷唐三藏金剛智譯上九經二十卷二帙計三百八十	Sutra of the Great Mind Dhāraṇī of the Seven Koṭis of Buddhas, 1 fascicle, translated by Tripiṭaka Master Divākara of Central India during the Tang dynasty🔽Sutra of the Great Dhāraṇī of the Seven Koṭis of Buddhas' Mother, 1 fascicle, translated by Tripiṭaka Master Vajrabodhi of the Tang dynasty
['ZH_T55_2155_02a:0730b21_11_6']	九紙	九紙	The above nine sūtras, in 20 fascicles, in 2 cases, totaling 389 pages
['ZH_T55_2155_02a:0730b21_11_1']	【才】【良】。	【才】【良】。	[cai] [liang]
['ZH_T55_2155_02a:0730c25_7_0', 'ZH_T55_2155_02a:0730c25_7_1']	觀自在菩薩隨心呪經一卷唐總持寺沙門智通譯種種雜呪經一卷周宇文🔽氏天竺三藏闍那崛多譯佛頂勝陀羅尼經一卷唐朝散郎杜行顗奉勅譯佛	觀自在菩薩隨心呪經一卷唐總持寺沙門智通譯種種雜呪經一卷周宇文 氏天竺三藏闍那崛多譯佛頂勝陀羅尼經一卷唐朝散郎杜行顗奉勅譯佛	Sutra of Avalokitêśvara Bodhisattva's Heart Dhāraṇī, 1 fascicle, translated by Śramaṇa Zhitong of Zongchi Temple during the Tang dynasty🔽Sutra of Various Miscellaneous Dhāraṇīs, 1 fascicle, translated by Tripiṭaka Master Jñānagupta of India during the Zhou dynasty🔽Sutra of the Supreme Dhāraṇī of the Buddha's Crown, 1 fascicle, translated by Du Xingyi, Gentleman of the Court, on imperial order during the Tang dynasty
['ZH_T55_2155_02a:0730c25_7_2']	頂最勝陀羅尼經一卷唐中天竺三藏地婆訶羅譯佛頂尊勝陀羅尼經一卷	頂最勝陀羅尼經一卷唐中天竺三藏地婆訶羅譯佛頂尊勝陀羅尼經一卷	Sutra of the Supreme Dhāraṇī of the Buddha's Crown, 1 fascicle, translated by Tripiṭaka Master Divākara of Central India during the Tang dynasty🔽Sutra of the Supreme Dhāraṇī of the Buddha's Crown, 1 fascicle, translated by Tripiṭaka Master Buddhapāla of Kāśmīra during the Tang dynasty
['ZH_T55_2155_02a:0730c25_7_3']	唐罽賓沙門佛陀波利譯最勝佛頂陀羅尼淨除業障經一卷唐中天竺三藏	唐罽賓沙門佛陀波利譯最勝佛頂陀羅尼淨除業障經一卷唐中天竺三藏	Sutra of the Supreme Buddha's Crown Dhāraṇī for Purifying Karmic Hindrances, 1 fascicle, translated by Tripiṭaka Master Divākara of Central India during the Tang dynasty
